Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
EO,Basudevpur Municipality,Const of paver road from kailash das house towards ramakanta mallick house ward 8,Const of paver road from kailash das house towards ramakanta mallick house ward 8,Please refer Tender documents. ,NA ,"5,07,618",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,1,ICICI BANK,"5,076",Yes,fixed,,Nil,Nil,AOC,Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_48,BSPM-01-2023-24,Const of paver road from kailash das house towards ramakanta mallick house ward 8,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,08-Nov-2023 01:12 PM,finsummary_453353.pdf (10275.71 KB),Finance,ok,Manas Kumar Dandapat,02-Sep-2023 12:51 PM,finance_453353.pdf,BOQ Comparative Chart,1,2226180,Gangadhar Patra,INR,"677,576",1,2227196,chandan kumar mallick,31-Aug-2023 03:33 PM,Accepted-AOC,ok,09-Nov-2023 03:22 PM,09-Nov-2023,"INR 604,979",30.0,Manas Kumar Dandapat,09-Nov-2023 03:21 PM,emd.pdf (10276.00 KB),ok,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,07-Nov-2023 02:33 PM,techsummary_453353.pdf (10275.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,2,2227196,chandan kumar mallick,INR,"604,979",2,2226180,Gangadhar Patra,31-Aug-2023 10:55 AM,Accepted-AOC,ok,09-Nov-2023 03:22 PM,,,,,,,,,,,,,,AOC
