Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Kishore kumar Kabi,Internal,"SE,DAO,AEE ESTIMATOR,AE ESTIMATOR",Kishore Kumar Kabi,08-Nov-2023 03:38 PM,finsummary_435926.pdf (259.71 KB),Technical,DETAILS ATTACHED,Kishore Kumar Kabi,21-Sep-2023 03:25 PM,technical_435926.pdf,Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,2023_RWSS_88452_1,RWSS_3_2023-24,"EXECUTION OF RETRO RPWS TO NUAGAON ZONE I,II,III UNDER NAUGAON BLOCK",Finance,DETAILS ATTACHED,Kishore Kumar Kabi,08-Nov-2023 02:46 PM,finance_435926.pdf,BOQ Comparative Chart,09-Nov-2023,"INR 22,838,513",360.0,Kishore Kumar Kabi,15-Nov-2023 03:48 PM,PDF.pdf (387.00 KB),DETAILS ATTACHED,1.0,2134825.0,Ashish Kumar Behera,INR,"22,838,513",1,2134841,AJIT KUMAR NAYAK,09-May-2023 03:49 PM,Not Admitted-Finance,Not qualified for AOC,08-Nov-2023 02:46 PM,ACE,Internal,"ACE,SE,DAO,EE(ESTIMATOR)",Kishore Kumar Kabi,21-Sep-2023 03:42 PM,21-Sep-2023 04:00 PM,techsummary_435926.pdf (339.67 KB),AOC,1.0,ICICI NEFT/RTGS,28-Apr-2023 10:00 AM,10-May-2023 11:00 AM,28-Apr-2023 10:00 AM,09-May-2023 05:00 PM,28-Apr-2023 10:00 AM ,06-May-2023 05:00 PM ,28-Apr-2023 10:00 AM,09-May-2023 05:00 PM,21-Sep-2023 04:00 PM,"EXECUTION OF RETRO RPWS TO NUAGAON ZONE I,II,III UNDER NAUGAON BLOCK","EXECUTION OF RETRO RPWS TO NUAGAON ZONE I,II,III UNDER NAUGAON BLOCK",PLEASE REFER TENDER DOCUMENTS ,NA ,"2,54,32,792",Civil Works - Others,NA ,Tender,90.0,360.0,JAGATSINGHPUR,754103.0,NA ,NA ,NA ,S E RWSS JAGATSINGHPUR,No ,No,"2,54,328",Yes,fixed,,Nil,Nil,S E RWSS JAGATSINGHPUR,S E RWSS DIVISION JAGATSINGHPUR,Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,RWSS_3_2023-24,2023_RWSS_88452_1,Yes,National Competitive Bid,Lump-sum,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation, Affd. towards correctness Certificate.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2134825,Ashish Kumar Behera,09-May-2023 04:38 PM,Accepted-AOC,DETAILS ATTACHED,15-Nov-2023 03:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, Work Experience, Mechinaries and Other Documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2133031,Ashish Kumar Kar,09-May-2023 03:44 PM,Not Admitted-Finance,Not qualified for AOC,08-Nov-2023 02:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2128470,CHITTA RANJAN PANDA,08-May-2023 06:03 PM,Not Admitted-Finance,Not qualified for AOC,08-Nov-2023 02:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2128839,KSHIROD BEHURA,06-May-2023 01:19 PM,Rejected-AOC,DETAILS ATTACHED,15-Nov-2023 03:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2131930,MAA KHANDUALI ENGINEERING WORKS,09-May-2023 02:01 PM,Rejected-AOC,DETAILS ATTACHED,15-Nov-2023 03:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2132629,SHREE MAA CONSTRUCTIONS,09-May-2023 03:40 PM,Rejected-AOC,DETAILS ATTACHED,15-Nov-2023 03:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2134854,SRI SRIKANTA KUMAR NAYAK,09-May-2023 03:07 PM,Rejected-AOC,DETAILS ATTACHED,15-Nov-2023 03:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
