Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Baripada Municipality,BPDM-2 OF 2023-2024,2023_ORULB_90641_66,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,"11,200",Yes,fixed,,Nil,Nil,Proposed of main road side smart park boundary wall at Madhuban under Baripada Municipality,Compound wall,Please refer tender documents ,NA ,,Civil Works - Others,NA ,Tender,120.0,60.0,"Baripada Municipality,Baripada",757001.0,NA ,NA ,NA ,office of the Baripada Municipality,No ,No,15-Jul-2023 11:00 AM,31-Jul-2023 11:30 AM,15-Jul-2023 11:00 AM,29-Jul-2023 05:00 PM,NA ,NA ,15-Jul-2023 11:00 AM,29-Jul-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P.cost,E.M.D remitted online,PAN, GST certificate,Labour License,R.C.,Affidavit and as perDTCN","Executive officer,Baripada Municipality","Executive officer,Baripada Municipality",1,ICICI BANK,AOC,Municipal Bodies||Baripada Municipality,2023_ORULB_90641_66,BPDM-2 OF 2023-2024,Proposed of main road side smart park boundary wall at Madhuban under Baripada Municipality,"Chairperson,Prsident",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada ,Executive officer",Basanta Kumar Sethi,16-Nov-2023 05:32 PM,finsummary_444060.pdf,Finance,"Two bidders have participated, hence the documents of both the bidders have been accepted, which will be put up before the tender committee foe finalization of technical and financial bid",Basanta Kumar Sethi,04-Aug-2023 04:38 PM,finance_444060.pdf,16-Nov-2023,"INR 1,316,840",60.0,Basanta Kumar Sethi,16-Nov-2023 05:35 PM,Workorder.pdf,"Chaiperson,President",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada,Executive officer",Basanta Kumar Sethi,16-Nov-2023 05:27 PM,techsummary_444060.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
