Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,11-Aug-2023 11:56 AM,finance_446180.pdf,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,15-Nov-2023 12:34 PM,techsummary_446180.pdf,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2023_OLIC_91588_1,2203/2023-24 DT.28.07.2023,RESTORATION OF 98 NOS OF LI PROJECTS IN BRAHMAGIRI BLOCK OF PURI DISTRICT,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,15-Nov-2023 12:41 PM,finsummary_446180.pdf,15-Nov-2023,"INR 1,705,666",45.0,SUJIT KUMAR MOHANTY,15-Nov-2023 12:45 PM,Abbubakar.pdf,Work Order and Agreement Completed,AOC,1,ICICI BANK,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2203/2023-24 DT.28.07.2023,2023_OLIC_91588_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD, AND ALL OTHERS DOUCMENT AS PER DTCN",RESTORATION OF 98 NOS OF LI PROJECTS IN BRAHMAGIRI BLOCK OF PURI DISTRICT,RESTORATION OF 98 NOS OF LI PROJECTS IN BRAHMAGIRI BLOCK OF PURI DISTRICT,Please refer Tender Documents ,NA ,"17,24,637",Civil Works - Lift Irrigation Schemes,NA ,Tender,45.0,45.0,BRAHMAGIRI,752011.0,NA ,NA ,NA ,OFFICE OF EE LI DIVISION BHUBANESWAR,No ,No,EE LI DIVISION BHUBANESWAR,OFFICE OF EE LI DIVISION BHUBANESWAR,"6,000",0.0,Nil,Nil,No,03-Aug-2023 10:00 AM,11-Aug-2023 11:00 AM,03-Aug-2023 10:00 AM,10-Aug-2023 05:00 PM,03-Aug-2023 10:00 AM ,09-Aug-2023 05:00 PM ,03-Aug-2023 10:00 AM,10-Aug-2023 05:00 PM,"17,246",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
