Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Jajpur Municipality,JM-05/2023-24,2023_ORULB_95059_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"76,050",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TENDER PAPER COST EMD PAN OTHER DOCUMENT AS PER DTCN,1,ICICI BANK,EXECUTIVE OFFICER JAJPUR MUNICIPALITY,JAJPUR MUNICIPALITY OFFICE JAJPUR,03-Oct-2023 11:00 AM,19-Oct-2023 11:00 AM,03-Oct-2023 11:00 AM,17-Oct-2023 05:00 PM,03-Oct-2023 11:00 AM ,10-Oct-2023 05:00 PM ,03-Oct-2023 11:00 AM,17-Oct-2023 05:00 PM,04-Nov-2023 10:00 AM,Extension of Administrative Building with other Ancillary Structures etc inside Existing SeTP at Malaanadapur of Jajpur Municipality,WORKS,Please refer Tender documents. ,NA ,"76,05,000",Civil Works - Others,NA ,Tender,120.0,180.0,JAJPUR MUNICIPALITY JAJPUR,755001.0,NA ,NA ,NA ,JAJPUR MUNICIPALITY OFFICE,No ,No,AOC,Technical,Opened sucessful,Suryamani Pattajoshi,26-Oct-2023 07:41 PM,technical_465215.pdf,1,2290260,BHARAT KUMAR SAHOO,17-Oct-2023 11:46 AM,Accepted-AOC,Awarded,23-Nov-2023 01:57 PM,Finance,Opened Successful,Suryamani Pattajoshi,04-Nov-2023 01:05 PM,finance_465215.pdf,BOQ Comparative Chart,E.O,Internal,Estimator M.E,Suryamani Pattajoshi,23-Nov-2023 01:52 PM,finsummary_465215.pdf (423.93 KB),23-Nov-2023,"INR 7,605,304.073",180.0,Suryamani Pattajoshi,23-Nov-2023 01:55 PM,Workorder.pdf (424.00 KB),Awarded,"Smt Ranjulata Hota,Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Accountant, Nizarat Officer",Suryamani Pattajoshi,03-Nov-2023 08:33 PM,04-Nov-2023 10:00 AM,techsummary_465215.pdf (224.62 KB),Municipal Bodies||Jajpur Municipality,2023_ORULB_95059_1,JM-05/2023-24,Extension of Administrative Building with other Ancillary Structures etc inside Existing SeTP at Malaanadapur of Jajpur Municipality,1.0,2290260.0,BHARAT KUMAR SAHOO,INR,"7,605,304.073",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BILL OF QUANITIES,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,2290273,MANOJAMANJARI SAHOO,17-Oct-2023 11:51 AM,Rejected-Finance,Rate is higher,23-Nov-2023 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
