EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"8,62,000",Yes,fixed,,Nil,Nil,CCE Dhenkanal R and B Circle Dhenkanal,CCE Dhenkanal R and B Circle Dhenkanal,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,CCE DKL R and B/10-2023-24,2023_EICCL_92511_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement such as widening and strengthening of Badachana Balichandrapur road from ch. 7/200 km to 12/690 km in the district of Jajpur under state plan for the year 2023-2024,Improvement such as widening and strengthening of Badachana Balichandrapur road from ch. 7/200 km to 12/690 km in the district of Jajpur under state plan for the year 2023-2024,Please refer Tender documents ,NA ,"8,61,95,197",Civil Works - Roads,NA ,Tender,90.0,270.0,Choudwar,754025.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle Dhenkanal,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",1.0,ICICI BANK,17-Aug-2023 10:00 AM,01-Sep-2023 11:30 AM,17-Aug-2023 10:00 AM,31-Aug-2023 05:30 PM,NA ,NA ,17-Aug-2023 10:00 AM,31-Aug-2023 05:30 PM,07-Sep-2023 11:00 AM,AOC,CCE Dhenkanal,Internal,SE Charbatia Sr DAO Charbatia Estr Charbatia PA to CCE Dhenkanal Circle Estr Dhenkanal Circle,Ashok Kumar Giri,17-Nov-2023 08:24 PM,finsummary_449286.pdf (158.13 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,2023_EICCL_92511_14,CCE DKL R and B/10-2023-24,Improvement such as widening and strengthening of Badachana Balichandrapur road from ch. 7/200 km to 12/690 km in the district of Jajpur under state plan for the year 2023-2024,Technical,Opened,Ashok Kumar Giri,01-Sep-2023 01:55 PM,technical_449286.pdf,1.0,2218647.0,SIBA PRASAD PARIDA,INR,"77,584,297",1,2226971,DEBABRATA SAMAL,31-Aug-2023 03:36 PM,Rejected-Technical,Disqualified as per clause No 14 iii and 122 g of DTCN,05-Sep-2023 04:41 PM,17-Nov-2023,"INR 86,195,196.99",270.0,Ashok Kumar Giri,17-Nov-2023 08:25 PM,Badachana_Balichandrapur.pdf (1025.00 KB),Agreement on dt. 06.11.2023,Finance,Opened,Ashok Kumar Giri,07-Sep-2023 05:02 PM,finance_449286.pdf,BOQ Comparative Chart,Ashok Kumar Giri,Internal,AK Ray MR Bal S Singh SP Nayak,Ashok Kumar Giri,05-Sep-2023 04:41 PM,07-Sep-2023 11:00 AM,techsummary_449286.pdf (624.89 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2223338,M/S GOURAV CONTRUCTION,30-Aug-2023 06:54 PM,Rejected-AOC,Disqualify in transparent lottery,17-Nov-2023 08:26 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2218647,SIBA PRASAD PARIDA,31-Aug-2023 01:18 PM,Accepted-AOC,Work has been awarded,17-Nov-2023 08:26 PM,,,,,,,,,,,,,,,,,,,,,AOC
