Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant",Upendra Kumar Nayak,04-Nov-2023 10:33 AM,techsummary_452507.pdf (1718.38 KB),04-Nov-2023,"INR 1,030,104",60.0,Upendra Kumar Nayak,04-Nov-2023 10:42 AM,4040_NM_24.pdf (378.00 KB),1,2231734,KHIRASINDHU HARIJAN,02-Sep-2023 04:20 PM,Rejected-Finance,Disqualified,04-Nov-2023 10:39 AM,Finance,All documents submitted as per DTCN,Upendra Kumar Nayak,01-Nov-2023 11:54 AM,,BOQ Comparative Chart,1.0,2231177.0,M/s SANGRAM KUMAR MOHAPATRA,INR,"1,030,104",Municipal Bodies||Nabarangpur Municipality,2023_ORULB_92969_24,EONM-03/2023-24(51),Construction of Paver Surface over Kutcha road from Jagat Janani Res to Promod Sethi Res in Ward No 17,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant",Upendra Kumar Nayak,04-Nov-2023 10:39 AM,finsummary_452507.pdf (1718.38 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",24-Aug-2023 11:00 AM,04-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,NA ,NA ,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,Municipal Bodies||Nabarangpur Municipality,EONM-03/2023-24(51),2023_ORULB_92969_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,301",Yes,fixed,,Nil,Nil,1.0,Corrigendum Regarding DTCN revised,Other,,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Construction of Paver Surface over Kutcha road from Jagat Janani Res to Promod Sethi Res in Ward No 17,Please referee the Tender Documents,CIVIL WORK ,NA ,"10,30,104",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.",AOC
,,,,,,,,,,,,2,2231177,M/s SANGRAM KUMAR MOHAPATRA,02-Sep-2023 12:53 PM,Accepted-AOC,Qualified as L1 bidder,04-Nov-2023 10:43 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
