S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,EO NAC Kuchinda,"Office of the EO NAC Kuchinda,Sambalpur",Construction of Paver road from Pramod Chhatria house to Kishor majhi house in ward No-7,Construction of Paver road from Pramod Chhatria house to Kishor majhi house in ward No-7,As per DTCN ,NA ,"1,70,621",Civil Works - Others,NA ,Tender,90.0,30.0,Ward No-7 NAC Kuchinda,768222.0,NA ,NA ,NA ,Office of the EO NAC Kuchinda,No ,No,"1,706",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kuchinda NAC,KCDA/NAC-3/2023-24,2023_ORULB_92400_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,600.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,14-Aug-2023 03:00 PM,28-Aug-2023 11:00 AM,14-Aug-2023 03:00 PM,25-Aug-2023 05:30 PM,14-Aug-2023 03:00 PM ,25-Aug-2023 05:00 PM ,14-Aug-2023 03:00 PM,25-Aug-2023 05:30 PM,AOC,Municipal Bodies||Kuchinda NAC,2023_ORULB_92400_3,KCDA/NAC-3/2023-24,Construction of Paver road from Pramod Chhatria house to Kishor majhi house in ward No-7,1.0,2212802.0,BISHAL AGRAWAL,INR,"145,045.24",Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",KSHETRASING MAJHI,15-Oct-2023 05:42 PM,techsummary_448400.pdf (634.38 KB),Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",KSHETRASING MAJHI,15-Oct-2023 06:04 PM,finsummary_448400.pdf (651.15 KB),Finance,13 nos of bid admitted,KSHETRASING MAJHI,12-Sep-2023 12:38 PM,finance_448400.pdf,BOQ Comparative Chart,31-Oct-2023,"INR 145,045.24",30.0,KSHETRASING MAJHI,01-Nov-2023 01:40 PM,1191.pdf (653.00 KB),Work order,1,2212786,AMIT AGRAWAL,23-Aug-2023 12:55 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2217194,ATISH KUMAR AGARWAL,25-Aug-2023 10:09 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2212802,BISHAL AGRAWAL,24-Aug-2023 09:07 PM,Accepted-AOC,Successful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2212606,DIPTI PANDA,23-Aug-2023 07:23 PM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2207653,GOBINDA SAHOO,20-Aug-2023 01:33 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2217424,GOURANGA SAHU,25-Aug-2023 12:50 PM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2215080,MIRAJUDDIN MALLICK,25-Aug-2023 04:36 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2210662,ROHIT AGRAWAL,22-Aug-2023 02:38 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2215159,SAGAR CHANDRA BEHERA,25-Aug-2023 07:47 AM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2217077,SAMEER AGRAWAL,25-Aug-2023 12:34 PM,Rejected-AOC,Unsuccessful in lottery winnings,01-Nov-2023 01:41 PM,AOC
