Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,07-Nov-2023 02:38 PM,techsummary_453366.pdf (10275.71 KB),1,2226208,Gangadhar Patra,31-Aug-2023 11:08 AM,Accepted-AOC,OK,20-Nov-2023 12:39 PM,20-Nov-2023,"INR 624,041",30.0,Samir Ranjan Dash,20-Nov-2023 12:39 PM,52.pdf (255.00 KB),OK,1,2226166,Ramakanta Jena,INR,"717,647",Finance,ok,Prashanta Nayak,05-Sep-2023 12:14 PM,finance_453366.pdf,BOQ Comparative Chart,NIBEDITA BEHERA,Internal,,Manas Kumar Dandapat,10-Nov-2023 03:31 PM,finsummary_453366.pdf (10275.71 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_52,BSPM-01-2023-24,Const of paver road from PWD road towards Srikanta mallick house ward 8,AOC,EO,Basudevpur Municipality,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"5,236",Yes,fixed,,Nil,Nil,1,ICICI BANK,Const of paver road from PWD road towards Srikanta mallick house ward 8,Const of paver road from PWD road towards Srikanta mallick house ward 8,Please refer Tender documents. ,NA ,"5,23,612",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,2,2226166,Ramakanta Jena,31-Aug-2023 02:05 PM,Accepted-AOC,OK,20-Nov-2023 12:39 PM,,,,,,,,2,2226208,Gangadhar Patra,INR,"624,041",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
