Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Nabarangpur Municipality,EONM-03/2023-24(51),2023_ORULB_92969_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Aug-2023 11:00 AM,04-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,NA ,NA ,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur","4,412",Yes,fixed,,Nil,Nil,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",1.0,Corrigendum Regarding DTCN revised,Other,,Construction of Paver Surface over Kutcha Road from Antarjami Pradhan res to Tapan Pradhan res. in Ward No-01,Please referee the Tender Documents,CIVIL WORK ,NA ,"4,41,186",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,AOC,Municipal Bodies||Nabarangpur Municipality,2023_ORULB_92969_39,EONM-03/2023-24(51),Construction of Paver Surface over Kutcha Road from Antarjami Pradhan res to Tapan Pradhan res. in Ward No-01,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,02-Nov-2023 06:20 PM,finsummary_452588.pdf (1718.38 KB),Finance,All documents submitted as per bid,Upendra Kumar Nayak,02-Nov-2023 06:10 PM,,BOQ Comparative Chart,1.0,2230607.0,DAYANIDHI BHATARA,INR,"419,170",03-Nov-2023,"INR 419,170",60.0,Upendra Kumar Nayak,02-Nov-2023 06:24 PM,3991_NM.pdf (374.00 KB),1,2230607,DAYANIDHI BHATARA,02-Sep-2023 03:23 AM,Accepted-AOC,L1 bidder,02-Nov-2023 06:25 PM,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,02-Nov-2023 06:15 PM,techsummary_452588.pdf (1718.38 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2230620,MANOJ KUMAR BRAHMA,02-Sep-2023 04:59 AM,Rejected-Finance,due to l2,02-Nov-2023 06:20 PM,,,,,,,AOC
