Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DETAIL TENDER CALL NOTICE,1,ICICI BANK,Municipal Bodies||Vyasanagar Municipality,04/vnm/2023/24 dt-25/08/2023,2023_ORULB_93432_82,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,executive officer,vyasanagar municipality,29-Aug-2023 11:00 AM,11-Sep-2023 11:00 AM,29-Aug-2023 11:00 AM,08-Sep-2023 05:00 PM,NA ,NA ,29-Aug-2023 11:00 AM,08-Sep-2023 05:00 PM,Construction of paver road from Sridhar Malik house to Pratap Biswal house in ward no 10,civil road work,Please refer Tender documents. ,NA ,"10,39,905",Civil Works - Roads,NA ,Tender,60.0,60.0,vyasanagar municipality,755019.0,NA ,NA ,NA ,executive office chamber vyasanagar municipality,No ,No,"10,400",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,14-Nov-2023,"INR 2,079,810",60.0,Tarun Kumar Mohapatra,14-Nov-2023 06:05 PM,rp1.pdf (343.00 KB),total boq value,1,2243995,CORPORATE SYSTEMS PROP HRUDANANDA DIVEDI,07-Sep-2023 09:23 PM,Accepted-AOC,rejected,14-Nov-2023 06:05 PM,EO,Internal,je me,Tarun Kumar Mohapatra,14-Nov-2023 06:00 PM,techsummary_455979.pdf (343.12 KB),EO,Internal,je me,Tarun Kumar Mohapatra,14-Nov-2023 06:03 PM,finsummary_455979.pdf (343.12 KB),Municipal Bodies||Vyasanagar Municipality,2023_ORULB_93432_82,04/vnm/2023/24 dt-25/08/2023,Construction of paver road from Sridhar Malik house to Pratap Biswal house in ward no 10,1,2243995,CORPORATE SYSTEMS PROP HRUDANANDA DIVEDI,INR,"1,039,905.015",Finance,bid summary,Tarun Kumar Mohapatra,14-Nov-2023 05:59 PM,finance_455979.pdf,BOQ Comparative Chart,AOC
,,.xls,BILL OF QUANTITY,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2244141,RASHMITA PRADHAN,08-Sep-2023 01:50 PM,Accepted-AOC,accepted,14-Nov-2023 06:05 PM,,,,,,,,,,,,,,,,,2,2244141,RASHMITA PRADHAN,INR,"1,039,905.015",,,,,,,AOC
