Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,07-Oct-2023 10:06 AM,techsummary_448770.pdf (581.83 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2023_EICCL_92388_2,TCN No 22 of 2023-24,Construction of Bio Waste Containment Area at Chandanpur CHC under Puri Sadar Block at Chadanpur for the year 2023-24,1.0,2212549.0,JAYASHREE SWAIN,INR,"836,950",1,2213826,DIPAK PRADHAN,23-Aug-2023 01:59 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,07-Oct-2023 10:14 AM,02-Nov-2023,"INR 836,950",60.0,Smita Pal,02-Nov-2023 06:46 PM,AOC.pdf (633.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,Finance,Total 5 Nos bidder are admitted,Rasmi Ranjan Sahoo,25-Aug-2023 01:59 PM,,BOQ Comparative Chart,Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,07-Oct-2023 10:14 AM,finsummary_448770.pdf (1483.55 KB),AOC,Er. Rashmi Ranjan Sahoo,"O/o the S.E. R and B Division, Puri",Construction of Bio Waste Containment Area at Chandanpur CHC under Puri Sadar Block at Chadanpur for the year 2023-24,Construction of Bio Waste Containment Area at Chandanpur CHC under Puri Sadar Block at Chadanpur for the year 2023-24,Please refer Tender documents. ,NA ,"9,84,532",Civil Works - Buildings,NA ,Tender,90.0,60.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTN,EMD,COST OF TENDER PAPER, AFFIDAVIT,ALL SCHEDULE AND ALL OTHER APPROVED DOCUMENTS AS PER",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 22 of 2023-24,2023_EICCL_92388_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,15-Aug-2023 10:00 AM,24-Aug-2023 11:30 AM,15-Aug-2023 10:00 AM,23-Aug-2023 05:00 PM,NA ,NA ,15-Aug-2023 10:00 AM,23-Aug-2023 05:00 PM,"9,845",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2203920,GADADHAR PRADHAN,16-Aug-2023 07:50 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,07-Oct-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2212549,JAYASHREE SWAIN,22-Aug-2023 09:45 PM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,02-Nov-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2203222,KALENDI CHARAN JENA,16-Aug-2023 03:36 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,07-Oct-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2213979,PURNA CHANDRA PATTNAIK,23-Aug-2023 02:46 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,07-Oct-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
