Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Executive Engineer, L.I.Division, Balangir","O/o the Executive Engineer, L.I.Division, Balangir","6,000",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-02/2023-24,2023_OLIC_92535_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"28,462",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,Revival of defunct Sikuan-I and II L.I. Projects under Deogaon Block (Sate Plan Fund).,Revival of defunct Sikuan-I and II L.I. Projects under Deogaon Block (Sate Plan Fund).,Please refer Tender documents. ,NA ,"28,46,200",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Bolangir,767002.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I.Division, Balangir",No ,No,17-Aug-2023 11:00 AM,25-Aug-2023 11:00 AM,17-Aug-2023 11:00 AM,24-Aug-2023 05:00 PM,17-Aug-2023 11:00 AM ,23-Aug-2023 05:00 PM ,17-Aug-2023 11:00 AM,24-Aug-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",AOC,1,2215380,Jay Kishan Rana,24-Aug-2023 09:16 AM,Accepted-AOC,1st Lowest,05-Nov-2023 10:00 PM,SN Dalai,Internal,,Satchidananda Dalai,05-Nov-2023 09:59 PM,finsummary_449401.pdf (193.38 KB),Finance,2 Nos. Bidders participated,Satchidananda Dalai,05-Nov-2023 06:10 PM,finance_449401.pdf,BOQ Comparative Chart,05-Nov-2023,"INR 2,846,199.69",120.0,Satchidananda Dalai,05-Nov-2023 10:00 PM,15.pdf (1170.00 KB),1st Lowest,SN Dalai,Internal,,Satchidananda Dalai,05-Nov-2023 09:45 PM,techsummary_449401.pdf (193.38 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2023_OLIC_92535_15,OLIC-BLGR-02/2023-24,Revival of defunct Sikuan-I and II L.I. Projects under Deogaon Block (Sate Plan Fund).,1.0,2215380.0,Jay Kishan Rana,INR,"2,846,200",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,2,2215431,SANTOSH KUMAR SETH,24-Aug-2023 09:42 AM,Rejected-Finance,2nd Lowest,05-Nov-2023 09:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
