Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ok,Birendra Kumar Behera,02-Sep-2023 12:32 PM,,BOQ Comparative Chart,Dharmananda Parida,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Dealing Asst",Jatindra Kumar Mishra,08-Nov-2023 07:38 AM,finsummary_451739.pdf (17.15 KB),08-Nov-2023,"INR 789,504",40.0,Jatindra Kumar Mishra,08-Nov-2023 07:39 AM,1935.pdf (736.00 KB),AOC,1.0,2228860.0,PRASANNA KUMAR JENA,01-Sep-2023 12:29 PM,Accepted-AOC,AOC,08-Nov-2023 07:39 AM,Municipal Bodies||Kamakhyanagar NAC,2023_ORULB_92905_7,03/2023-24,"Construction of Paver Road leading from Gopal Sahi Thakura Ghara towards Bhairabi Thakurani (Canal Road) in Ward No-01, Kamakhyanagar NAC",1.0,2228860.0,PRASANNA KUMAR JENA,INR,"789,504",Dharmananda Parida,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Dealing Asst",Jatindra Kumar Mishra,08-Nov-2023 07:34 AM,techsummary_451739.pdf (17.14 KB),AOC,1.0,ADDITION OF SOME TERM AND CONDITION,Technical Bid,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, Labour Licences PAN and Other Documents",Municipal Bodies||Kamakhyanagar NAC,03/2023-24,2023_ORULB_92905_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,895",Yes,percentage,1.0%,Nil,Nil,"Construction of Paver Road leading from Gopal Sahi Thakura Ghara towards Bhairabi Thakurani (Canal Road) in Ward No-01, Kamakhyanagar NAC","Construction of Paver Road leading from Gopal Sahi Thakura Ghara towards Bhairabi Thakurani (Canal Road) in Ward No-01, Kamakhyanagar NAC",Please refer Tender documents. ,NA ,"7,89,504",Civil Works - Others,NA ,Tender,30.0,40.0,Kamakhyanagar NAC,759018.0,NA ,NA ,NA ,Kamakhyanagar NAC,No ,No,23-Aug-2023 11:00 AM,02-Sep-2023 11:00 AM,23-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,NA ,NA ,23-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,"Executive Officer, Kamakhyanagar NAC","Executive Officer, Kamakhyanagar NAC","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2.0,2228323.0,SUSAMARANI ROUT,01-Sep-2023 08:58 AM,Rejected-Finance,Excess rarte,08-Nov-2023 07:38 AM,,,,,,,,,,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
