Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 01/2023-24,2023_ORULB_89922_50,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,Construction of Guard Wall from the back side plot of Basanta Panda to the Transformer Plinth at the connecting road from Patapur Patana to Brahman Sahi of Krushna Chandrapur Patana in Ward no. 13 of NAC Daspalla,Construction of Guard Wall from the back side plot of Basanta Panda to the Transformer Plinth at the connecting road from Patapur Patana to Brahman Sahi of Krushna Chandrapur Patana in Ward no. 13 of NAC Daspalla,Please refer Tender documents. ,NA ,"9,99,000",Civil Works - Roads,NA ,Tender,90.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA","9,990",Yes,fixed,,Nil,Nil,29-Jun-2023 12:00 PM,13-Jul-2023 11:00 AM,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,NA ,NA ,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,AOC,Municipal Bodies||Daspalla NAC,2023_ORULB_89922_50,NAC-Daspalla/ 01/2023-24,Construction of Guard Wall from the back side plot of Basanta Panda to the Transformer Plinth at the connecting road from Patapur Patana to Brahman Sahi of Krushna Chandrapur Patana in Ward no. 13 of NAC Daspalla,SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,13-Oct-2023 03:01 PM,finsummary_441877.pdf (228.19 KB),Finance,OK,Ashok Kumar Dalabehera,10-Aug-2023 04:07 PM,finance_441877.pdf,BOQ Comparative Chart,1.0,2175358.0,SARAT KUMAR BEHERA,INR,"846,610",01-Nov-2023,"INR 846,610",90.0,Dillip Kumar Behera,06-Nov-2023 10:27 AM,50.pdf (255.00 KB),1,2175426,PRADIPT KUMAR BEHERA,10-Jul-2023 10:51 PM,Rejected-Finance,EXCESS,13-Oct-2023 03:01 PM,SMT PUNAM PRIYADARSHINEE,Internal,,Ashok Kumar Dalabehera,10-Aug-2023 04:08 PM,techsummary_441877.pdf (3871.32 KB),AOC
,,,,,,,,,,,,,,,,.pdf,ALL TENDER DOCUMENTS,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2175358,SARAT KUMAR BEHERA,10-Jul-2023 10:23 PM,Accepted-AOC,OK,06-Nov-2023 10:27 AM,,,,,,,AOC
