Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
02-Nov-2023,"INR 2,253,271.89",180.0,SANJAY KUMAR DAS,02-Nov-2023 03:42 PM,Bamanbindha.pdf (154.00 KB),Tender Awarded,Finance,Technical Bid Opening,SANJAY KUMAR DAS,12-Oct-2023 04:14 PM,finance_433387.pdf,BOQ Comparative Chart,SANJAYA KUMAR DAS,Internal,Details Attached below,SANJAY KUMAR DAS,02-Nov-2023 02:54 PM,finsummary_433387.pdf (153.67 KB),1,2115961,Bhanu Pratap Sethi,18-Apr-2023 03:30 PM,Accepted-AOC,Verified,02-Nov-2023 03:43 PM,1.0,2115961.0,Bhanu Pratap Sethi,INR,"1,915,506.43",Odisha State Agricultural Marketing Board||RMC Bhadrak,2023_OSAMB_87610_6,02/ RMC BHADRAK/2023-24,"Construction of improvement of 01 Nos. Multi purpose godown at Bamanbindha SCS under RMC, Bhadark (Tihidi)",SANJAYA KUMAR DAS,Internal,Details attached below,SANJAY KUMAR DAS,02-Nov-2023 02:50 PM,techsummary_433387.pdf (153.67 KB),AOC,"22,533",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,"Construction of improvement of 01 Nos. Multi purpose godown at Bamanbindha SCS under RMC, Bhadark (Tihidi)","Construction of improvement of 01 Nos. Multi purpose godown at Bamanbindha SCS under RMC, Bhadark (Tihidi)",Please refer Tender documents. ,NA ,"22,53,273",Civil Works - Others,NA ,Tender,90.0,180.0,BHADRAK,756100.0,NA ,NA ,NA ,"Sub-Collector,Bhadrak- cum-Chairman RMC, Bhadrak",No ,No,"Sub-Collector,Bhadrak- cum-Chairman RMC, Bhadrak","OFFICE OF THE REGULATED MARKET COMMITTEE,BHADRAK",1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings and any other document as per SBD/DTCN,Odisha State Agricultural Marketing Board||RMC Bhadrak,02/ RMC BHADRAK/2023-24,2023_OSAMB_87610_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Apr-2023 06:55 PM,19-Apr-2023 11:00 AM,06-Apr-2023 06:55 PM,18-Apr-2023 05:00 PM,NA ,NA ,06-Apr-2023 06:55 PM,18-Apr-2023 05:00 PM,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,2115949,UJJAWAL KUMAR NAYAK,18-Apr-2023 03:03 PM,Rejected-AOC,Rejected,02-Nov-2023 03:43 PM,,,,,,,,,,,,,,,,AOC,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
