Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Subject to verification of Original Documents,LAMBODAR MAJHI,09-Nov-2023 12:17 PM,,"Collector and District Magistrate, Mayurbhanj",Internal,"PA, ITDA, Baripada / AEO (Tech, ZP, Mayurbhanj / AEE, ITDA, Baripada / AEs, ITDA, Baripda",LAMBODAR MAJHI,09-Nov-2023 12:29 PM,finsummary_462619.pdf,09-Nov-2023,"INR 6,605,837.107",270.0,LAMBODAR MAJHI,09-Nov-2023 12:33 PM,TenderProceeding_03.pdf,Accepted and Selected through transparent lottery system,ST and SC Development Deptt||ITDA Baripada,2023_STSCD_94536_5,ITDABPD-03/2023-24,Construction of new Upgraded Kasturaba Gandhi BalikaVidyalaya (KGBV) Hostel Building (Phase-III) at Bhaliadiha Govt. UPS under Morada Block,"Collector and District Magistrate, Mayurbhanj",Internal,"PA, ITDA, Baripada / AEO (Tech, ZP, Mayurbhanj / AEE, ITDA, Baripada / AEs, ITDA, Baripda",LAMBODAR MAJHI,09-Nov-2023 12:20 PM,techsummary_462619.pdf,AOC,1,ICICI BANK,"Project Administrator, ITDA, Baripada","Murgabadi, Baripada",18-Sep-2023 10:00 AM,12-Oct-2023 11:00 AM,18-Sep-2023 10:00 AM,11-Oct-2023 05:30 PM,NA ,NA ,18-Sep-2023 10:00 AM,11-Oct-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License / PAN / GST / Affidavit / Online Payment Confirmation Slip / Etc.,",ST and SC Development Deptt||ITDA Baripada,ITDABPD-03/2023-24,2023_STSCD_94536_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"77,800",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Construction of new Upgraded Kasturaba Gandhi BalikaVidyalaya (KGBV) Hostel Building (Phase-III) at Bhaliadiha Govt. UPS under Morada Block,Construction of new Upgraded Kasturaba Gandhi BalikaVidyalaya (KGBV) Hostel Building (Phase-III) at Bhaliadiha Govt. UPS under Morada Block,B ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,270.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
