Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Municipal Bodies||Brajrajnagar Municipality,BRJNRM- 01/2023-24,2023_ORULB_89689_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,Const. of Road and Drain at IB Pit Nallapada in W.No.14.,Road and Drain,Please refer Tender documents ,NA ,"19,80,000",Civil Works - Others,NA ,Tender,90.0,60.0,Brajrajnagar Municipal Area,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,09-Jun-2023 11:00 AM,23-Jun-2023 11:00 AM,09-Jun-2023 11:00 AM,19-Jun-2023 05:00 PM,NA ,NA ,09-Jun-2023 11:00 AM,19-Jun-2023 05:00 PM,"19,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN, GST, Affidavit and other documents as per the relevant clauses of this DTCN",AOC,1,2162481,Birendra Munda,18-Jun-2023 09:19 PM,Accepted-AOC,Accepted,20-Nov-2023 01:14 PM,20-Nov-2023,"INR 1,980,000",60.0,Chandramani Swain,20-Nov-2023 01:13 PM,7.pdf (128.00 KB),"Kumari Jagyanseni Oram, Chairperson, Brajrajnagar Municipality",Internal,"Junior Engineer, Junior Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality",Chandramani Swain,20-Nov-2023 01:10 PM,finsummary_440540.pdf (366.07 KB),Finance,ok,Chandramani Swain,29-Jun-2023 01:02 PM,finance_440540.pdf,BOQ Comparative Chart,"Kumari Jagyanseni Oram, Chairperson, Brajrajnagar Municipality",Internal,"Junior Engineer, Junior Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality",Chandramani Swain,20-Nov-2023 01:08 PM,techsummary_440540.pdf (1280.84 KB),1.0,2162481.0,Birendra Munda,INR,"1,483,318.29",Municipal Bodies||Brajrajnagar Municipality,2023_ORULB_89689_7,BRJNRM- 01/2023-24,Const. of Road and Drain at IB Pit Nallapada in W.No.14.,AOC
,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bills of Quantity,AOC,2,2162629,KANHAYA RAJAK,18-Jun-2023 11:01 AM,Rejected-AOC,Rejected,20-Nov-2023 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
