Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Sundargarh Municipality,SNGM-08/2023-24,2023_ORULB_91379_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Document As per DTCN,1,ICICI BANK,"10,000",Yes,fixed,,Nil,Nil,"Executive Officer, Sundargarh Municipality","O/O EXECUTIVE OFFICER, SUNDARGARH MUNICIPALITY",31-Jul-2023 11:00 AM,10-Aug-2023 11:00 AM,31-Jul-2023 11:00 AM,09-Aug-2023 05:00 PM,NA ,NA ,31-Jul-2023 11:00 AM,09-Aug-2023 05:00 PM,Construction of Paver Block road from Nano Parida house to Rahul House in ward no 06,Construction of Paver Block road from Nano Parida house to Rahul House in ward no 06,Please refer Tender documents. ,NA ,"9,21,557",Civil Works - Others,NA ,Rate Contract,120.0,60.0,Sundargarh Municipality,770001.0,NA ,NA ,NA ,"O/O EXECUTIVE OFFICER, SUNDARGARH MUNICIPALITY",No ,No,AOC,ADMINISTRATOR,Internal,,Ranjita Patel,16-Nov-2023 11:41 AM,techsummary_445715.pdf (438.25 KB),1.0,2198056.0,Dillip Kumar Gidhi,INR,"921,556.8",Municipal Bodies||Sundargarh Municipality,2023_ORULB_91379_2,SNGM-08/2023-24,Construction of Paver Block road from Nano Parida house to Rahul House in ward no 06,1,2198056,Dillip Kumar Gidhi,09-Aug-2023 01:36 PM,Accepted-AOC,Accepted,16-Nov-2023 11:49 AM,16-Nov-2023,"INR 1,087,437",30.0,Ranjita Patel,16-Nov-2023 11:48 AM,9226.pdf (1014.00 KB),AoC,ADMINISTRATOR,Internal,,Ranjita Patel,16-Nov-2023 11:46 AM,finsummary_445715.pdf (619.02 KB),Finance,Tender Opened,Ranjita Patel,16-Nov-2023 11:39 AM,finance_445715.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2198247,PRABIN KUMAR MAJHI,09-Aug-2023 03:09 PM,Rejected-AOC,Not Accepted,16-Nov-2023 11:49 AM,,,,,,,,,,,,,,,,,,,,AOC
