Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
16-Aug-2023 03:15 PM,01-Sep-2023 11:00 AM,16-Aug-2023 03:15 PM,31-Aug-2023 05:00 PM,16-Aug-2023 03:15 PM ,25-Aug-2023 05:00 PM ,16-Aug-2023 03:15 PM,31-Aug-2023 05:00 PM,13-Sep-2023 11:00 AM,Chief Construction Engineer,CCE R and B Circle Rayagada PIN 765001,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,CCE RANDB RGDA 05/2023-24,2023_EICCL_92488_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Const of BOX CELL Culvert at 2/250 km of GGLU Road in the District of Gajapati,Bridge work,Please refer Tender documents. ,NA ,"1,33,15,136",Civil Works - Bridges,NA ,Tender,90.0,150.0,Paralakhemundi,761200.0,NA ,NA ,NA ,CCE R and B Circle Rayagada,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Paper, EMD,PAN,GSTRC,GSTIN, Labour license, Affidavit, Regd Cerificate","1,33,200",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,2023_EICCL_92488_8,CCE RANDB RGDA 05/2023-24,Const of BOX CELL Culvert at 2/250 km of GGLU Road in the District of Gajapati,1.0,2223899.0,BURADA DINESH,INR,"1,131,917.12",Pramod Kumar Dhar CCE,Internal,EE DAO PA to CCE Estimator,Pramod Kumar Dhar,12-Sep-2023 07:20 PM,13-Sep-2023 11:00 AM,techsummary_449162.pdf (622.89 KB),30-Nov-2023,"INR 11,319,197",150.0,Pramod Kumar Dhar,30-Nov-2023 06:55 PM,WO_Boc_Culvert_2-250km.pdf (1324.00 KB),Tender is already awarded to Sri Burada Dinesh vide Work Order Letter no.3917 Dt. 10.11.2023. of EE Paralakhemundi. The Date of Commencement is 10.11.2023.,Pramod kumar Dhar CCE,Internal,EE DAO PA to CCE Estimator,Pramod Kumar Dhar,30-Nov-2023 06:52 PM,finsummary_449162.pdf (113.77 KB),Finance,Financial Bid of Five Nos of Bidders are Downloaded,Pramod Kumar Dhar,13-Sep-2023 07:04 PM,finance_449162.pdf,BOQ Comparative Chart,Technical,Six Nos of Bidders are participated and for technical evaluation.,Pramod Kumar Dhar,04-Sep-2023 05:12 PM,technical_449162.pdf,1,2223849,AKASH KUMAR SENAPATI,31-Aug-2023 04:53 PM,Rejected-AOC,First Lowest,30-Nov-2023 06:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience and other documents as per DTCN,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2226389,Allapa Ganapati Rao,31-Aug-2023 11:23 AM,Rejected-AOC,First Lowest,30-Nov-2023 06:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2223899,BURADA DINESH,29-Aug-2023 06:53 PM,Accepted-AOC,First Lowest on Transperent Lottery System.,30-Nov-2023 06:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2219285,DEBAR DEHURY,31-Aug-2023 11:23 AM,Rejected-AOC,Second Lowest,30-Nov-2023 06:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2226675,ROUTHU SUNIL KUMAR,31-Aug-2023 01:22 PM,Rejected-Technical,Disqualified as per Evaluation Sheet,12-Sep-2023 07:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2227027,SIVALA PHALGUNA RAO,31-Aug-2023 04:01 PM,Rejected-AOC,First Lowest,30-Nov-2023 06:57 PM,AOC
