Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Deputy Director GWD Division ,II",Internal,,Shiladitya Mishra,26-Oct-2023 08:34 PM,finsummary_467191.pdf,Ground Water Survey and Investigation,2023_GWSI_95587_1,10/GWRSD/GWD/2023-24,Installation of 10 Nos of recharge shafts cum Monitoring stations at different locations in Nayagarh Block area of Nayagarh district.,07-Nov-2023,"INR 1,640,866",45.0,Shiladitya Mishra,30-Nov-2023 12:09 PM,GWD10.pdf,Finance,BOS,Subash Chandra Jena,25-Oct-2023 12:50 PM,finance_467191.pdf,"Deputy Director GWD Division ,II",Internal,,Shiladitya Mishra,26-Oct-2023 05:58 PM,techsummary_467191.pdf,AOC,Ground Water Survey and Investigation,10/GWRSD/GWD/2023-24,2023_GWSI_95587_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Installation of 10 Nos of recharge shafts cum Monitoring stations at different locations in Nayagarh Block area of Nayagarh district.,Installation of 10 Nos of recharge shafts cum Monitoring stations at different locations in Nayagarh Block area of Nayagarh district.,Please refer Tender documents. ,NA ,"19,30,204",Civil Works - Others,NA ,Tender,90.0,45.0,"GWD Division-II ,Plot-A/2, Unit-V,Bhubaneswar",751001.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER DOCUMENTS,"Deputy Director, Geology, GWD Division-II","Deputy Director, Geology, GWD Division-II ,Plot-A/2, Unit-V,Bhubaneswar",1,ICICI BANK,14-Oct-2023 11:00 AM,25-Oct-2023 12:00 PM,15-Oct-2023 11:00 AM,25-Oct-2023 11:00 AM,NA ,NA ,15-Oct-2023 11:00 AM,25-Oct-2023 11:00 AM,"19,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
