Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
"Chairperson, Gudari NAC",Internal,"Executive Officer, Gudari NAC Municipal Engineer Gudari NAC Junior Engineer, Gudari NAC Accountant Gudari NAC",Girish Chandra Mishra,16-Sep-2023 03:15 PM,techsummary_452693.pdf (1044.27 KB),1,2227112,Balaram Panigrahi,31-Aug-2023 09:09 PM,Accepted-AOC,SELECTED IN LOTTERY,19-Nov-2023 01:19 PM,26-Sep-2023,"INR 481,762",30.0,Murali Krushna Panda,19-Nov-2023 01:18 PM,33.pdf (389.00 KB),1.0,2227112.0,Balaram Panigrahi,INR,"481,762",Finance,OUT OF TWO BIDDER PRABHATA KUMAR MISHRA STOOD L1. DOWNLOADED FOR FINAL SCRUTINY.,Girish Chandra Mishra,04-Sep-2023 03:18 PM,finance_452693.pdf,BOQ Comparative Chart,"Chairperson, Gudari NAC",Internal,"Executive Officer, Gudari NAC Municipal Engineer Gudari NAC Junior Engineer, Gudari NAC Accountant Gudari NAC",Girish Chandra Mishra,20-Sep-2023 08:27 PM,finsummary_452693.pdf (1044.27 KB),Municipal Bodies||Gudari NAC,2023_ORULB_92898_33,GUD-NAC-02-2023-24,Construction of Paver road at SUDHA SAHI Ward No-06 Gudari NAC under Green Field scheme.,AOC,"2,000",0.0,Nil,Nil,No,Construction of Paver road at SUDHA SAHI Ward No-06 Gudari NAC under Green Field scheme.,Construction of Paver road at SUDHA SAHI Ward No-06 Gudari NAC under Green Field scheme.,Please refer Tender documents. ,NA ,"4,80,265",Civil Works - Others,NA ,Rate Contract,90.0,30.0,GUDARI,765026.0,NA ,NA ,NA ,GUDARI NAC,No ,No,Municipal Bodies||Gudari NAC,GUD-NAC-02-2023-24,2023_ORULB_92898_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"4,803",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER,GUDARI NAC,23-Aug-2023 06:00 PM,02-Sep-2023 11:00 AM,23-Aug-2023 06:00 PM,01-Sep-2023 06:00 PM,NA ,NA ,23-Aug-2023 06:00 PM,01-Sep-2023 06:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE EMD PAPER COST GST CLEARANCE ETC,AOC
,,,,,,2,2228455,PRABHATA KUMAR MISHRA,01-Sep-2023 01:19 PM,Rejected-AOC,REJECTED IN LOTTERY,19-Nov-2023 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
