Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"4,000",Nil,Nil,No,1.0,ICICI BANK,"S.E., Jaraka Irrigation Division,Jaraka","S.E., Jaraka Irrigation Division,Jaraka",Sl.No.27-Improvement to Right embankment of Distributary No-14 1/2 from RD 200mtr to 1400mtr,Moorum and Stone work,Please refer Tender Documents ,NA ,"9,56,367",Civil Works - Others,NA ,Tender,90.0,90.0,Jaraka,755050.0,NA ,NA ,NA ,"S.E., Jaraka Irrigation Division,Jaraka",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, RC, No Relation Certificate, Affidavit regarding authenticity",18-Sep-2023 10:00 AM,28-Sep-2023 11:00 AM,18-Sep-2023 10:00 AM,27-Sep-2023 05:00 PM,18-Sep-2023 10:00 AM ,25-Sep-2023 05:00 PM ,18-Sep-2023 10:00 AM,27-Sep-2023 05:00 PM,"9,600",Yes,fixed,,Nil,Nil,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,JKID-03 OF 2023-24,2023_JIRR_94404_27,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",kamadev das,31-Oct-2023 05:22 PM,finsummary_461968.pdf (9151.27 KB),Finance,Documents of all the bidders downloaded,kamadev das,19-Oct-2023 11:12 AM,,BOQ Comparative Chart,14-Nov-2023,"INR 813,008",90.0,kamadev das,30-Nov-2023 04:10 PM,Sl.27.pdf (526.00 KB),The work has been awarded to Kamini Sahoo,1,2272888,ARATA KUMAR SAHOO,27-Sep-2023 11:27 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,2023_JIRR_94404_27,JKID-03 OF 2023-24,Sl.No.27-Improvement to Right embankment of Distributary No-14 1/2 from RD 200mtr to 1400mtr,1.0,2268870.0,KAMINI SAHOO,INR,"813,008","Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",kamadev das,20-Oct-2023 04:28 PM,techsummary_461968.pdf (9151.27 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2272916,JYOTI MOHAN MOHANTY,27-Sep-2023 11:38 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2268870,KAMINI SAHOO,24-Sep-2023 09:24 PM,Accepted-AOC,The work has been awarded to Kamini Sahoo,30-Nov-2023 04:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2271210,LAXMIDHAR SAHOO,26-Sep-2023 09:45 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2271360,MADHULITA ROUTRAY,26-Sep-2023 11:16 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2272960,PARTHASARATHI PADHI,27-Sep-2023 11:55 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2272416,RABINDRA SATAPATHI,26-Sep-2023 08:38 PM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2270896,RAGHUNATH NAYAK,25-Sep-2023 08:32 PM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2273172,RATNAKAR MOHAPATRA,27-Sep-2023 03:01 PM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2264140,SANTOSH KUMAR SAHOO,21-Sep-2023 11:52 AM,Rejected-Finance,Other than L1,31-Oct-2023 05:22 PM,,,,,,,,,,,,,,,,AOC
