S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2248272.0,MAHESWAR BEHERA,INR,"786,476","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",2023_OLIC_93179_40,Bid Id No.02 /OLIC (CTC) / Dt. 23/08/2,REVIVAL OF MULABASANTA-I LIFT IRRIGATION PROJECT,EE LI CUTTCK,Internal,EE LI CUTTCK,SHDHANA BEHERA,13-Nov-2023 06:12 PM,techsummary_455517.pdf (676.95 KB),Finance,2 Bidders Participation,SHDHANA BEHERA,17-Sep-2023 08:26 PM,,BOQ Comparative Chart,EE LI CUTTCK,Internal,EE LI CUTTCK AND OTHERS,SHDHANA BEHERA,13-Nov-2023 06:15 PM,finsummary_455517.pdf (676.95 KB),13-Nov-2023,"INR 786,476",365.0,SHDHANA BEHERA,13-Nov-2023 06:17 PM,MULUBASANTA1.pdf (677.00 KB),WORK ORDER ISSUE,1,2248272,MAHESWAR BEHERA,11-Sep-2023 11:42 AM,Accepted-AOC,OK,13-Nov-2023 06:17 PM,AOC,REVIVAL OF MULABASANTA-I LIFT IRRIGATION PROJECT,REVIVAL OF MULABASANTA-I LIFT IRRIGATION PROJECT,Please refer Tender documents. ,NA ,"7,86,476",Civil Works - Lift Irrigation Schemes,NA ,Rate Contract,90.0,365.0,MAHANGA BLOCK,754001.0,NA ,NA ,NA ,"EE LI DIVISION, CUTTACK",No ,No,"7,865",Yes,fixed,,Nil,Nil,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD AND ALL OTHERS DOCUMENTS AS PER DTCN","4,000",0.0,Nil,Nil,Yes,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",Bid Id No.02 /OLIC (CTC) / Dt. 23/08/2,2023_OLIC_93179_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EE LI DIVISION, CUTTACK","O/O EE LI DIVISION, CUTTACK",31-Aug-2023 10:00 AM,12-Sep-2023 10:00 AM,31-Aug-2023 10:00 AM,11-Sep-2023 05:00 PM,31-Aug-2023 10:00 AM ,11-Sep-2023 04:00 PM ,31-Aug-2023 10:00 AM,11-Sep-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2247215,NIRUPAMA BEHERA,10-Sep-2023 02:20 PM,Rejected-Technical,OK,13-Nov-2023 06:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
