S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"4,703",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER,Balasore Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,No,09-Aug-2023 11:00 AM,16-Aug-2023 11:00 AM,09-Aug-2023 11:00 AM,14-Aug-2023 05:00 PM,NA ,NA ,09-Aug-2023 11:00 AM,14-Aug-2023 05:00 PM,Construction of Toilet at Kasaba Pry School In Ward No_11 under Balasore Municipality,Construction of Toilet at Kasaba Pry School In Ward No_11 under Balasore Municipality,Please refer Tender documents. ,NA ,"4,70,339",Civil Works - Others,NA ,Tender,90.0,60.0,BALASORE MUNICIPALITY,756003.0,NA ,NA ,NA ,BALASORE MUNICIPALITY,No ,No,Municipal Bodies||Balasore Municipality,BM_05_2023_24,2023_ORULB_91404_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,03-Nov-2023,"INR 555,000",60.0,Pranabananda Sahu,03-Nov-2023 05:51 PM,WO0516.pdf (442.00 KB),1,2200015,Abhimanyu Patra,11-Aug-2023 07:51 PM,Accepted-AOC,WO,03-Nov-2023 05:52 PM,EO ME CP,Internal,,Pranabananda Sahu,29-Sep-2023 01:59 PM,techsummary_446766.pdf (603.61 KB),EO ME CP,Internal,,Pranabananda Sahu,03-Nov-2023 05:43 PM,finsummary_446766.pdf (603.61 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_91404_16,BM_05_2023_24,Construction of Toilet at Kasaba Pry School In Ward No_11 under Balasore Municipality,1.0,2200015.0,Abhimanyu Patra,INR,"470,339",Finance,The tender has been opened successfully,Kunal Motiram Chavan,16-Aug-2023 01:37 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2200034,Dillip Kumar Maity,11-Aug-2023 07:27 PM,Rejected-Finance,L2,03-Nov-2023 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
