S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,29-Jun-2023 12:00 PM,13-Jul-2023 11:00 AM,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,NA ,NA ,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 01/2023-24,2023_ORULB_89922_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"1,520",Yes,fixed,,Nil,Nil,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA",600.0,0.0,Nil,Nil,No,Construction of CC Road from the House of Khadal Mohanty to Gyana Mishra House in Ward no. 05 of NAC Daspalla,Construction of CC Road from the House of Khadal Mohanty to Gyana Mishra House in Ward no. 05 of NAC Daspalla,Please refer Tender documents. ,NA ,"1,52,000",Civil Works - Roads,NA ,Tender,90.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,AOC,1,2175418,PRADIPT KUMAR BEHERA,10-Jul-2023 11:01 PM,Rejected-Finance,EXCESS,13-Oct-2023 02:31 PM,26-Oct-2023,"INR 128,814",90.0,Dillip Kumar Behera,03-Nov-2023 05:23 PM,16.pdf (243.00 KB),SMT PUNAM PRIYADARSHINEE,Internal,,Ashok Kumar Dalabehera,10-Aug-2023 01:05 PM,techsummary_441709.pdf (3871.32 KB),SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,13-Oct-2023 02:31 PM,finsummary_441709.pdf (214.25 KB),Municipal Bodies||Daspalla NAC,2023_ORULB_89922_16,NAC-Daspalla/ 01/2023-24,Construction of CC Road from the House of Khadal Mohanty to Gyana Mishra House in Ward no. 05 of NAC Daspalla,1.0,2175326.0,RASMIRANJAN MISHRA,INR,"128,814",Finance,OK,Ashok Kumar Dalabehera,10-Aug-2023 01:04 PM,finance_441709.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ALL TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2175326,RASMIRANJAN MISHRA,10-Jul-2023 10:46 PM,Accepted-AOC,OK,03-Nov-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
