Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Sambalpur Municipal Corporation,10/SMC_SBP/2023-24,2023_ORULB_92143_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"COMMISSIONER, SMC, SAMBALPUR","New Office Building, SMC, Durgapali, Sambalpur, 768006",10-Aug-2023 04:00 PM,21-Aug-2023 11:00 AM,10-Aug-2023 04:00 PM,20-Aug-2023 05:00 PM,NA ,NA ,10-Aug-2023 04:00 PM,20-Aug-2023 05:00 PM,Renovation and Repair of Durgapali Talipada Road and Drain Ward No 15 Sambalpur Municipal Corporation,Renovation and Repair of Durgapali Talipada Road and Drain Ward No 15 Sambalpur Municipal Corporation,Please refer Tender documents. ,NA ,"5,04,558",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,"SAMBALPUR MUNICIPAL CORPORATION, SAMBALPUR",No ,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"5,046",Yes,percentage,1.0%,Nil,Nil,AOC,29-Nov-2023,"INR 504,558.18",60.0,Vedbhushan .,29-Nov-2023 01:03 PM,10-13.pdf (403.00 KB),successful,1,2204542,JAYANTA KUMAR MEHER,18-Aug-2023 12:06 PM,Rejected-Technical,UNSUCCESS,29-Nov-2023 12:58 PM,Ananya Das Committee Chairperson / Co-ordinator,Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Vedbhushan .,29-Nov-2023 12:58 PM,techsummary_447477.pdf (402.56 KB),Municipal Bodies||Sambalpur Municipal Corporation,2023_ORULB_92143_13,10/SMC_SBP/2023-24,Renovation and Repair of Durgapali Talipada Road and Drain Ward No 15 Sambalpur Municipal Corporation,Ananya Das Committee Chairperson / Co-ordinator,Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Vedbhushan .,29-Nov-2023 01:02 PM,finsummary_447477.pdf (402.56 KB),Finance,ok,Vedbhushan .,02-Sep-2023 11:58 AM,,BOQ Comparative Chart,1.0,2206907.0,SAROJ SETH,INR,"504,558.18",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",,,,,,,AOC,,,,,,,,2,2206907,SAROJ SETH,19-Aug-2023 03:07 PM,Accepted-AOC,successful,29-Nov-2023 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2205466,SASWAT NANDA,19-Aug-2023 02:00 PM,Rejected-Technical,UNSUCCESS,29-Nov-2023 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
