Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Const of paver road from ward no.18,Construction of paver road from Rabi pati house towards Ankuru Barik house in ward no.18,Please refer Tender documents. ,NA ,"6,44,541",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,Municipal Bodies||Basudevpur Municipality,BSP-05-2023-02,2023_ORULB_95080_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EO,Basudevpur Municipality,04-Oct-2023 10:00 AM,11-Oct-2023 11:00 AM,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,NA ,NA ,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,445",Yes,fixed,,Nil,Nil,AOC,23-Nov-2023,"INR 768,163",30.0,Samir Ranjan Dash,23-Nov-2023 12:44 PM,14.pdf (272.00 KB),OK,1,2281141,BIJAYA KUMAR PATI,06-Oct-2023 06:51 PM,Accepted-AOC,OK,23-Nov-2023 12:44 PM,NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,23-Nov-2023 11:14 AM,techsummary_465339.pdf (2709.72 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_95080_14,BSP-05-2023-02,Const of paver road from ward no.18,NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,23-Nov-2023 11:56 AM,finsummary_465339.pdf (2709.72 KB),Finance,ok,Prashanta Nayak,13-Oct-2023 12:12 PM,finance_465339.pdf,BOQ Comparative Chart,1,2281141,BIJAYA KUMAR PATI,INR,"768,163",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,2,2281225,DEEPAK RANJAN NAYAK,06-Oct-2023 07:11 PM,Accepted-AOC,OK,23-Nov-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,2,2281225,DEEPAK RANJAN NAYAK,INR,"806,571",AOC
