Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ok,Prashanta Nayak,13-Oct-2023 11:12 AM,finance_465354.pdf,BOQ Comparative Chart,1,2280801,SARAT KUMAR PANDA,INR,"768,163",Municipal Bodies||Basudevpur Municipality,2023_ORULB_95080_21,BSP-05-2023-02,Construction of paver road in ward no.23,NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,23-Nov-2023 11:43 AM,finsummary_465354.pdf (2709.72 KB),NIBEDITA BEHERA,Internal,"eo,me,je,acct",Samir Ranjan Dash,23-Nov-2023 11:41 AM,techsummary_465354.pdf (2709.72 KB),23-Nov-2023,"INR 768,163",30.0,Samir Ranjan Dash,23-Nov-2023 12:53 PM,21.pdf (272.00 KB),OK,1,2280848,RANJAN KUMAR SETHI,06-Oct-2023 02:47 PM,Accepted-AOC,OK,23-Nov-2023 12:53 PM,AOC,"6,709",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,Construction of paver road in ward no.23,Construction of paver road from Gopinath temple towards Ajay Barik house in ward no.23,Please refer Tender documents. ,NA ,"6,70,865",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,EO,Basudevpur Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Basudevpur Municipality,BSP-05-2023-02,2023_ORULB_95080_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Oct-2023 10:00 AM,11-Oct-2023 11:00 AM,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,NA ,NA ,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,AOC
,,,,,,2,2280848,RANJAN KUMAR SETHI,INR,"883,387",,,,,,,,,,,,,,,,,,,,,,,,2,2280801,SARAT KUMAR PANDA,06-Oct-2023 02:21 PM,Accepted-AOC,OK,23-Nov-2023 12:53 PM,AOC,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
