Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Er. Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,07-Nov-2023 07:12 PM,techsummary_466467.pdf (253.43 KB),1.0,2288670.0,MADHUSMITA MISHRA,INR,"1,156,958",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2023_EICCL_95372_1,TCN NO 38 OF 2023-24,Providing arrangement for Short Stay Home for Habishyalis during the Month of Kartika Under Habishyali Kartika Brata 2023 at Bagala Dharmasala,1,2288541,DEEPAK KUMAR DAS,15-Oct-2023 11:58 PM,Rejected-AOC,Rejected,07-Nov-2023 07:28 PM,07-Nov-2023,"INR 1,156,958",7.0,Rasmi Ranjan Sahoo,07-Nov-2023 07:28 PM,Evaluation.pdf (377.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,Finance,Total 4 nos bidder are participated in the online tender,Smita Pal,16-Oct-2023 03:34 PM,,BOQ Comparative Chart,Er. Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,07-Nov-2023 07:21 PM,finsummary_466467.pdf (377.30 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER APPROVED DTCN",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 38 OF 2023-24,2023_EICCL_95372_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"13,610",Yes,percentage,1.0%,Nil,Nil,Er. Rashmi Ranjan Sahoo,"O/o the S.E. R and B Division, Puri",09-Oct-2023 01:00 PM,16-Oct-2023 03:00 PM,09-Oct-2023 01:00 PM,16-Oct-2023 11:00 AM,NA ,NA ,09-Oct-2023 01:00 PM,16-Oct-2023 11:00 AM,Providing arrangement for Short Stay Home for Habishyalis during the Month of Kartika Under Habishyali Kartika Brata 2023 at Bagala Dharmasala,Providing arrangement for Short Stay Home for Habishyalis during the Month of Kartika Under Habishyali Kartika Brata 2023 at Bagala Dharmasala,Please refer Tender documents. ,NA ,"13,60,967",Civil Works - Others,NA ,Tender,90.0,7.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2288333,"MAA JADUANI DECORATOR AND SUPPLIER, PROP-RAJESH POTHAL",15-Oct-2023 11:32 PM,Rejected-AOC,Rejected,07-Nov-2023 07:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2288670,MADHUSMITA MISHRA,16-Oct-2023 09:09 AM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,07-Nov-2023 07:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2288253,SHADOW ADVERTISING AND COMMUNICATIONS PVT LTD,15-Oct-2023 01:42 PM,Rejected-Technical,The bidder has not fulfil the minimum eligibility criteria,07-Nov-2023 07:12 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
