S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2209557.0,RANJIT KUMAR DAS,INR,"1,551,451",Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_91733_2,BMC-EE-DD-13/2023-24 dtd.04.08.2023,Construction of culvert and drain with cover slab at Jagannath Nagar Road no 15 of ward no 19,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,01-Nov-2023 03:44 PM,techsummary_446458.pdf (110.20 KB),Finance,2 bids opened successfully,Goutam Chandra Das,22-Aug-2023 01:33 PM,finance_446458.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,01-Nov-2023 03:47 PM,finsummary_446458.pdf (110.20 KB),01-Nov-2023,"INR 1,551,451",90.0,Goutam Chandra Das,01-Nov-2023 03:54 PM,WO-348.23.pdf (318.00 KB),1,2209535,NIHARIKA JENA,21-Aug-2023 04:08 PM,Rejected-Finance,other than 1st lowest,01-Nov-2023 03:47 PM,AOC,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-13/2023-24 dtd.04.08.2023,2023_ORULB_91733_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"12,558",Yes,percentage,1.0%,Nil,Nil,"SE, Drainage Division,BMC","SE, Drainage Division,BMC",05-Aug-2023 10:30 AM,22-Aug-2023 11:00 AM,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,NA ,NA ,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan Copy of all Documents,Construction of culvert and drain with cover slab at Jagannath Nagar Road no 15 of ward no 19,Construction of culvert and drain with cover slab at Jagannath Nagar Road no 15 of ward no 19,As per DTCN ,NA ,"12,55,768",Civil Works - Others,NA ,Tender,120.0,90.0,BMC area limited,751007.0,NA ,NA ,NA ,"SE, Drainage Chamber",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2209557,RANJIT KUMAR DAS,21-Aug-2023 03:53 PM,Accepted-AOC,1st lowest,01-Nov-2023 03:55 PM,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
