Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Superintending Engineer,Internal,Sr DAO AE Estimators,Somanath Tripathy,14-Nov-2023 04:53 PM,techsummary_457637.pdf (386.21 KB),1.0,2231327.0,Perfect Audio Visual Systems,INR,"2,045,723",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2023_EICCL_93659_2,SC RandB Divn No.I-BAM-26/2023-24,Provision of replacement of existing projector on lecture theatre ground floor LT1 and LT2 1st floor LT3 and LT4 and lecture theatre 650 seater at MKCG Medical College Berhampur Odisha,1,2234230,AV MEDIA SOLUTIONS,06-Sep-2023 03:55 PM,Rejected-AOC,reject Due to 2nd lowest,14-Nov-2023 05:00 PM,Finance,"2 Nos bidder are participate,Tender under scrutiny",Bankim Chandra Panda,11-Sep-2023 04:57 PM,finance_457637.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,Sr DAO AE Estimators,Somanath Tripathy,14-Nov-2023 04:56 PM,finsummary_457637.pdf (386.21 KB),14-Nov-2023,"INR 2,045,723",30.0,Somanath Tripathy,14-Nov-2023 04:59 PM,ag.pdf (386.00 KB),Contract awarded to M/S Perfect Audio Visual Systems,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper EMD PAN GSTIN Affidavit and other documents as per DTCN,Superintending Engineer,O/o S.E. Ganjam RandB Division No.I Hillpatna Berhampur,"20,600",Yes,fixed,,Nil,Nil,1,ICICI BANK,Provision of replacement of existing projector on lecture theatre ground floor LT1 and LT2 1st floor LT3 and LT4 and lecture theatre 650 seater at MKCG Medical College Berhampur Odisha,Electrical work,Please refer Tender documents. ,NA ,"20,50,850",Electrical Works,NA ,Tender,90.0,30.0,Berhampur,760009.0,NA ,NA ,NA ,O/o S.E. Ganjam RandB Division No.I Berhampur,No ,No,"6,000",0.0,Nil,Nil,No,02-Sep-2023 10:00 AM,11-Sep-2023 11:30 AM,02-Sep-2023 10:00 AM,08-Sep-2023 04:00 PM,02-Sep-2023 10:00 AM ,05-Sep-2023 04:00 PM ,02-Sep-2023 10:00 AM,08-Sep-2023 04:00 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SC RandB Divn No.I-BAM-26/2023-24,2023_EICCL_93659_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2231327,Perfect Audio Visual Systems,06-Sep-2023 12:22 PM,Accepted-AOC,Win due to 1st Lowest,14-Nov-2023 05:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of quantity,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
