Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,14-Sep-2023 11:55 AM,14-Sep-2023 03:00 PM,techsummary_453868.pdf (186.06 KB),1.0,2232645.0,DINABANDHU KUMBHAR,INR,"1,278,830",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2023_OLIC_93165_25,OLIC/BGH-06/2023-24,Execution of work for Revival of Bijamal-I L.I. Project under Padampur Block in Bargarh District,1,2232645,DINABANDHU KUMBHAR,06-Sep-2023 02:24 PM,Accepted-AOC,Awarded,07-Nov-2023 01:32 PM,Technical,Open Technical Bid,SRIKANTA ROUT,07-Sep-2023 06:15 PM,,Finance,Open financial bid,SRIKANTA ROUT,14-Sep-2023 06:18 PM,,BOQ Comparative Chart,S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,06-Nov-2023 05:24 PM,finsummary_453868.pdf (177.76 KB),07-Nov-2023,"INR 1,278,830",90.0,Surya Narayan Tripathy,07-Nov-2023 01:31 PM,Six.pdf (457.00 KB),Awarded,AOC,1,Fee/PreQual/Technical,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavit, undertaking and as per DTCN",1,ICICI BANK,1,Date Change,Date,,Execution of work for Revival of Bijamal-I L.I. Project under Padampur Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"13,78,050",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,25-Aug-2023 10:00 AM,07-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,25-Aug-2023 10:00 AM ,05-Sep-2023 05:00 PM ,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh","13,781",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,OLIC/BGH-06/2023-24,2023_OLIC_93165_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,2232538,MOHAMMED SALMAN,06-Sep-2023 02:58 PM,Rejected-Finance,Unsuccessful Bidder,06-Nov-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Bill of Quantity (BOQ),2,ICICI NEFT/RTGS,2,Change in item of BOQ,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
