S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2178801.0,LAKSHMI ANDURU,INR,"1,026,203.99",Finance,OPENED,SATYASAMPARNA ROUT,26-Jul-2023 05:34 PM,finance_442676.pdf,BOQ Comparative Chart,CHAIRPERSON,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,10-Oct-2023 09:45 PM,finsummary_442676.pdf (258.83 KB),Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_19,GUN-MUN-58/2023-24,IMPROVEMENT OF ROAD IN OLD SBI STREET IN WARD NO 05,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER AND ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,24-Sep-2023 05:26 PM,techsummary_442676.pdf (258.84 KB),1,2180570,BALAJI PANIGRAHI,19-Jul-2023 09:29 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-EMD NOT DEPOSITED,26-Jul-2023 05:34 PM,12-Nov-2023,"INR 1,097,316.383",120.0,SATYASAMPARNA ROUT,12-Nov-2023 05:51 PM,19a.pdf (1940.00 KB),IMPROVEMENT OF ROAD IN OLD SBI STREET IN WARD NO 05,AOC,1.0,ICICI BANK,"12,948",Yes,percentage,1.0%,Nil,Nil,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,IMPROVEMENT OF ROAD IN OLD SBI STREET IN WARD NO 05,ROAD,Please refer Tender documents. ,NA ,"12,94,832",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPURD,No ,No,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179681,Bighnaraj Barik,18-Jul-2023 11:55 AM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2178535,CHINNARI VENKATA KRISHNA RAO,16-Jul-2023 12:18 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2180624,K RAMA KRISHNA,19-Jul-2023 10:13 AM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2178801,LAKSHMI ANDURU,17-Jul-2023 10:43 AM,Accepted-AOC,L1,12-Nov-2023 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2177270,Niranjan Behera,13-Jul-2023 03:42 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2178643,PALAKA MADHU,16-Jul-2023 06:43 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2179075,PRASANT KUMAR MISHRA,17-Jul-2023 02:07 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2177095,RAMA CHANDRA PANDA,17-Jul-2023 07:47 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2179446,RASMITA SAHUKAR,17-Jul-2023 08:08 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 09:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
