Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,Internal PH Colour washing to Town Hall Srastha inside Jatni Municipality.,Internal PH Colour washing to Town Hall Srastha inside Jatni Municipality.,Please refer Tender documents. ,NA ,"16,35,171",Civil Works - Others,NA ,Tender,30.0,30.0,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,1.0,ICICI BANK,"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY",Municipal Bodies||Jatni Municipal Council,EO/JMC/068/2023-24,2023_ORULB_91014_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,352",Yes,percentage,1.0%,Nil,Nil,28-Jul-2023 11:00 AM,11-Aug-2023 11:00 AM,28-Jul-2023 11:00 AM,10-Aug-2023 05:30 PM,NA ,NA ,28-Jul-2023 11:00 AM,10-Aug-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,lic pan gst affidavit and others as per dtcn,AOC,1,2198842,ALAKA ENTERPRISES,10-Aug-2023 12:05 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,executive officer,Internal,aee,Dillip Kumar Mohanty,01-Nov-2023 12:40 PM,finsummary_445442.pdf (678.50 KB),Finance,18 bidders are participated,Dillip Kumar Mohanty,16-Aug-2023 04:08 PM,finance_445442.pdf,BOQ Comparative Chart,01-Nov-2023,"INR 1,390,242",30.0,Dillip Kumar Mohanty,01-Nov-2023 12:43 PM,2-2.pdf (678.00 KB),executive officer,Internal,aee je,Dillip Kumar Mohanty,01-Nov-2023 12:28 PM,techsummary_445442.pdf (678.50 KB),Municipal Bodies||Jatni Municipal Council,2023_ORULB_91014_2,EO/JMC/068/2023-24,Internal PH Colour washing to Town Hall Srastha inside Jatni Municipality.,1.0,2198735.0,M/s RANJIT KUMAR KHUNTIA,INR,"1,390,242",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,emd,AOC,2,2199136,AMEEYA BHUJABAL,10-Aug-2023 03:41 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2195455,GOURANGA BALIARSINGH,06-Aug-2023 06:21 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2196450,JITENDRA KUMAR PATASAHANI,07-Aug-2023 05:42 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2198735,M/s RANJIT KUMAR KHUNTIA,10-Aug-2023 12:20 PM,Accepted-AOC,work order issued,01-Nov-2023 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2197736,NILAKANTHA BEHERA,09-Aug-2023 08:21 AM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2197610,PRAHALLAD CHAMPATIRAY,08-Aug-2023 08:19 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2197465,PRAMOD KUMAR RANSINGH,08-Aug-2023 05:32 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2198312,PRASANNA KUMAR NAYAK,09-Aug-2023 03:30 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2196394,RAJIB KHATEI,07-Aug-2023 04:30 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2199113,SANJAYA KUMAR BEHERA,10-Aug-2023 03:23 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2197205,SATRUGHNA MAJHI,09-Aug-2023 01:20 PM,Rejected-Finance,lottery,01-Nov-2023 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
