Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,BID ID NO.19 EELID (KJA/2023-24) DATE. 17.08.2023,2023_OLIC_93090_51,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper Cost,EMD,GST Challan,GSTIN,PAN,Affidavit,Civil and HT License,Joint Venture Agreement",1.0,ICICI BANK,Executive Engineer,"At-Ankura,Po-Karanjia,Dist-Mayurbhanj","19,836",Yes,fixed,,Nil,Nil,Revival of Bhejidiha LIP Under Thakurmunda Block in Mayurbhanj District,Revival Works Including Installation Power supply and energisation work Bhejidiha LIP Under Thakurmunda Block in Mayurbhanj District,Please refer Tender documents ,NA ,"19,83,586",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Karanjia,757037.0,NA ,NA ,NA ,Karanjia,No ,No,"6,000",0.0,Nil,Nil,No,24-Aug-2023 10:00 AM,11-Sep-2023 11:00 AM,24-Aug-2023 10:00 AM,08-Sep-2023 05:00 PM,24-Aug-2023 10:00 AM ,06-Sep-2023 05:00 PM ,24-Aug-2023 10:00 AM,08-Sep-2023 05:00 PM,AOC,Bikramaditya,Internal,"Bikramaditya, Kamala, Abhimanyu, Gangadhar, Gouri Sankar and Lottery on 17.10.2023 at 11 AM",BIKRAMADITYA PANIGRAHY,13-Oct-2023 10:58 AM,techsummary_453291.pdf (3711.17 KB),1.0,2241952.0,NIRANJAN BEHERA,INR,"1,686,246.73",Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,2023_OLIC_93090_51,BID ID NO.19 EELID (KJA/2023-24) DATE. 17.08.2023,Revival of Bhejidiha LIP Under Thakurmunda Block in Mayurbhanj District,1,2240961,ALOKA KUMAR BHUYAN,06-Sep-2023 10:53 PM,Rejected-AOC,L2,10-Nov-2023 05:59 PM,Bikramaditya Panigrahy,Internal,,BIKRAMADITYA PANIGRAHY,10-Nov-2023 05:56 PM,finsummary_453291.pdf (4415.80 KB),Finance,Bid opening Summary,BIKRAMADITYA PANIGRAHY,14-Sep-2023 12:50 PM,finance_453291.pdf,BOQ Comparative Chart,30-Nov-2023,"INR 1,686,246.73",90.0,BIKRAMADITYA PANIGRAHY,10-Nov-2023 05:58 PM,finsummary_453007.pdf (4416.00 KB),AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2244667,DAYANIDHI KABI,08-Sep-2023 12:52 PM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2242344,GOPINATH DAS,08-Sep-2023 01:22 PM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2237898,MS AYUSH ENGINEERING AND COMPANY,07-Sep-2023 07:05 PM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2244231,NABIN KUMAR PAL,08-Sep-2023 12:56 PM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2241952,NIRANJAN BEHERA,08-Sep-2023 10:16 AM,Accepted-AOC,L1,10-Nov-2023 05:59 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2240207,ODISHA ELECTRICAL AND CONSTRUCTIONS.,06-Sep-2023 08:11 PM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2243633,PRAVASINI SAHANI,08-Sep-2023 07:17 AM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2238752,SAGARIKA GIRI,06-Sep-2023 11:20 AM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2241890,SASHINATH BEHERA,08-Sep-2023 01:46 AM,Rejected-Finance,Due to not qualify financial criteria,10-Nov-2023 05:56 PM,,,,,,,,,,,,,,,,,,,AOC
