Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Renovation of Hostel Building inside IIIT Cam,Providing Painting waterproofing transportation of derbies to out side of campus and scaffolding including repairs to the external walls of Hostel Toilet Blocks D G I J K L,NA ,NA ,,Civil Works - Buildings,Repair and Renovation works ,Tender,90.0,60.0,"JATNI, KHORDHA, ODISHA",752050.0,NA ,NA ,NA ,"BCD I, ANNEX BUILDING, IDCO TOWER",No ,No,IDCO||IDCO||IDCO,BCD-1/ESTT/ 32 /2023-24,2023_IDCO_95546_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,DH BCD I,"2ND FLOOR, ANNEX BUILDING, IDCO TOWER, BBSR",1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD, Valid License, PAN, GST,EPF,EPF Challan,",1.0,ICICI BANK,12-Oct-2023 06:00 PM,30-Oct-2023 03:30 PM,12-Oct-2023 06:00 PM,30-Oct-2023 03:00 PM,12-Oct-2023 06:00 PM ,25-Oct-2023 03:00 PM ,12-Oct-2023 06:00 PM,30-Oct-2023 03:00 PM,07-Nov-2023 03:30 PM,"7,080",0.0,Nil,Nil,No,"30,760",Yes,fixed,,Nil,Nil,AOC,29-Nov-2023,"INR 2,614,844",60.0,RAJ KUMAR DASH,29-Nov-2023 04:21 PM,ws.pdf,The Bidder is selected through transparent Lottery,Finance,NINE NOS. OF FINANCIAL BID OPENED SUCCESSFULLY.,ITISHREE SARANGI,07-Nov-2023 05:51 PM,,IDCO||IDCO||IDCO,2023_IDCO_95546_1,BCD-1/ESTT/ 32 /2023-24,Renovation of Hostel Building inside IIIT Cam,Technical,12 nos. of technical bid opened successfully,RAJ KUMAR DASH,03-Nov-2023 05:02 PM,,DH BCD1,Internal,ESTIMATOR DM FIN,RAJ KUMAR DASH,29-Nov-2023 03:55 PM,finsummary_467080.pdf,DH BCD I,Internal,ESTIMATOR DIPUTY MANAGER FINANCE,RAJ KUMAR DASH,04-Nov-2023 05:26 PM,07-Nov-2023 03:30 PM,techsummary_467080.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
