Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Sr. Chief General Manager-I,"Vikash Bhawan, Nayapalli, Bhubaneshwar",22-Jul-2023 09:00 AM,11-Aug-2023 05:30 PM,22-Jul-2023 09:00 AM,11-Aug-2023 05:00 PM,NA ,NA ,22-Jul-2023 09:00 AM,11-Aug-2023 05:00 PM,01-Sep-2023 12:00 PM,Orissa Bridge and Construction Corporation Ltd,25/Tender/OBCC/2023-24,2023_OBCC_91022_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Facade Painting and Signage works in Badadanda Streetscape Project in the Heritage City of Puri under ABADHA Scheme on Percentage Rate basis,Facade Painting and Signage works in Badadanda Streetscape Project in the Heritage City of Puri under ABADHA Scheme on Percentage Rate basis,Please refer Tender documents. ,NA ,"3,98,04,392",Civil Works - Others,NA ,Tender,90.0,90.0,"Badadanda, Puri",752001.0,NA ,NA ,NA ,"Vikash Bhawan, Nayapalli, Bhubaneshwar",No ,No,"3,98,000",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Detailed Documents As per DTCN,AOC,Sr. Chief General Manager - I,Internal,,Namrata Ray,31-Aug-2023 07:15 PM,01-Sep-2023 12:00 PM,techsummary_444906.pdf (843.36 KB),1.0,2197828.0,M/S GREEN GROW,10-Aug-2023 09:29 PM,Rejected-Finance,Rejected,16-Nov-2023 04:58 PM,1.0,2199842.0,ROUTRAY DEVELOPER,INR,"35,824,351",16-Nov-2023,"INR 35,824,351",90.0,Shreeya Kumari Varma,16-Nov-2023 05:03 PM,Agreement_CP.pdf (356.00 KB),Finance,Total two (02) nos. financial proposal have been received and opened.,Namrata Ray,01-Sep-2023 12:13 PM,,BOQ Comparative Chart,Orissa Bridge and Construction Corporation Ltd,2023_OBCC_91022_1,25/Tender/OBCC/2023-24,Facade Painting and Signage works in Badadanda Streetscape Project in the Heritage City of Puri under ABADHA Scheme on Percentage Rate basis,Technical,Total two (02) nos. of technical bids have been received and opened.,Shreeya Kumari Varma,11-Aug-2023 05:47 PM,,Sr. Chief General Manager - I,Internal,,Shreeya Kumari Varma,16-Nov-2023 04:58 PM,finsummary_444906.pdf (2048.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Documents As per DTCN-2,AOC,,,,,,,,2.0,2199842.0,ROUTRAY DEVELOPER,11-Aug-2023 02:49 PM,Accepted-AOC,L1 Bidder,16-Nov-2023 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents As per DTCN-3,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents As per DTCN-4,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
