Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,opened,SATYASAMPARNA ROUT,26-Jul-2023 05:35 PM,finance_442678.pdf,BOQ Comparative Chart,1.0,2179217.0,JANI VENKATA RAO BAURI,INR,"848,747",Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_21,GUN-MUN-58/2023-24,CONSTRUCTION OF DRAIN IN SANYASI NAGAR LANE 2 IN WARD NO-6,CHAIRPERSON,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,10-Oct-2023 10:10 PM,finsummary_442678.pdf (258.83 KB),Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,10-Oct-2023 10:01 PM,techsummary_442678.pdf (258.83 KB),12-Nov-2023,"INR 896,247.797",120.0,SATYASAMPARNA ROUT,12-Nov-2023 06:07 PM,21a.pdf (2013.00 KB),CONSTRUCTION OF DRAIN IN SANYASI NAGAR LANE 2 IN WARD NO-6,1,2178554,CHINNARI VENKATA KRISHNA RAO,16-Jul-2023 12:33 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 05:35 PM,AOC,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,576",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,"6,000",0.0,Nil,Nil,No,CONSTRUCTION OF DRAIN IN SANYASI NAGAR LANE 2 IN WARD NO-6,DRAIN,Please refer Tender documents. ,NA ,"10,57,576",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR,No ,No,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179217,JANI VENKATA RAO BAURI,17-Jul-2023 04:12 PM,Accepted-AOC,AFTER CONSIDERING 10 PERCENT PRICE PREFERENCE TO THE HIM BEING SC/ST CONTRACTGOR CATOGORIES AND HE BECAME L1,12-Nov-2023 06:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2179077,PRASANT KUMAR MISHRA,17-Jul-2023 02:42 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 10:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2180131,SANTOSH KUMAR RATH,18-Jul-2023 05:47 PM,Rejected-Finance,EXCESS QUOTED AMOUNT,10-Oct-2023 10:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2181060,SRIKANT KUMAR RATH,19-Jul-2023 01:51 PM,Rejected-Finance,AFTER CONSIDERING 10 PERCENT PRICE TO SC ST CONTRACTOR PARTICIPATED IN THE BID AND EVALUTING OF RATES YOUR QUTED AMOUNT EXCESS THAN THE SC ST CONTRACTOR RATE,10-Oct-2023 10:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
