Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
ST and SC Development Deptt||ITDA Rairangpur,BidIdentification3of2023-24,2023_STSCD_93857_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of ICT and Smart Learning Facility Centre at Dumadihi Girls High School (SSD), Dumadihi under Bahalda Block.","Construction of ICT and Smart Learning Facility Centre at Dumadihi Girls High School (SSD), Dumadihi under Bahalda Block.",As per tender documents. ,NA ,"12,57,450",Civil Works - Buildings,NA ,Tender,90.0,120.0,Dumadihi,757046.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",06-Sep-2023 10:00 AM,28-Sep-2023 11:00 AM,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,NA ,NA ,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,"12,575",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_93857_7,BidIdentification3of2023-24,"Construction of ICT and Smart Learning Facility Centre at Dumadihi Girls High School (SSD), Dumadihi under Bahalda Block.",1.0,2273425.0,SURAJ PRASAD YADAV,INR,"1,068,958.36",ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 06:22 PM,techsummary_458791.pdf (228.33 KB),09-Nov-2023,"INR 1,068,958.36",120.0,PARIKSHITA DASH,09-Nov-2023 06:44 PM,AOCDetails03.pdf (536.00 KB),"Sri Suraj Prasad Yadav C Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingl",ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 06:30 PM,finsummary_458791.pdf (228.33 KB),Finance,All the bidders of the Work SI.No. 07 of Bid Identification No. 03/2023-24 are allowed for evaluation process.,PARIKSHITA DASH,08-Nov-2023 08:16 PM,finance_458791.pdf,BOQ Comparative Chart,1,2272031,AMBUJA MISHRA,26-Sep-2023 04:16 PM,Rejected-AOC,L1,09-Nov-2023 06:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2270538,SALKHAN HANSDAH,25-Sep-2023 04:50 PM,Rejected-AOC,L1,09-Nov-2023 06:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Notice Inviting Tender,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2273619,SHRUTILATA MANDAL,27-Sep-2023 04:53 PM,Rejected-AOC,L1,09-Nov-2023 06:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2273425,SURAJ PRASAD YADAV,27-Sep-2023 03:08 PM,Accepted-AOC,Lottery winner L1,09-Nov-2023 06:45 PM,AOC
