S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2229322.0,Sumanta Kumar Pradhan,INR,"373,333",Finance,ALL TWO NOS BID IS ADMITTED,Pabitra Mohan Pradhan,06-Sep-2023 11:35 AM,,BOQ Comparative Chart,Chairperson,Internal,"ME,EO,JE,Accountant",Pabitra Mohan Pradhan,09-Nov-2023 03:12 PM,finsummary_452315.pdf (225.60 KB),Municipal Bodies||Boudhgarh NAC,2023_ORULB_92928_16,NACBDH/08-2023-24,Construction of Paver Block Road at Rajanpali By Pass Main Road to Jhunu Pradhan house In Ward No-11,Chairperson,Internal,"EO,ME,JE,Accountant",Pabitra Mohan Pradhan,09-Nov-2023 03:09 PM,techsummary_452315.pdf (225.60 KB),1,2224811,MANOJ KUMAR SETHI,30-Aug-2023 01:18 PM,Rejected-AOC,As per lottery,09-Nov-2023 03:13 PM,09-Nov-2023,"INR 373,333",30.0,Pabitra Mohan Pradhan,09-Nov-2023 03:13 PM,wo.pdf (284.00 KB),As per lottery,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER NOTICE,1,ICICI BANK,"EXECUTIVE OFFICER,BOUDHGARH NAC","EXECUTIVE OFFICER,BOUDHGARH NAC",Construction of Paver Block Road at Rajanpali By Pass Main Road to Jhunu Pradhan house In Ward No-11,Paver Block,Please refer Tender documents. ,NA ,"4,39,164",Civil Works - Roads,NA ,Tender,30.0,30.0,BOUDH,762014.0,NA ,NA ,NA ,NAC OFFICE,No ,No,Municipal Bodies||Boudhgarh NAC,NACBDH/08-2023-24,2023_ORULB_92928_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,25-Aug-2023 10:00 AM,04-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,01-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 10:00 AM,01-Sep-2023 05:00 PM,"2,000",0.0,Nil,Nil,No,"4,392",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2229322,Sumanta Kumar Pradhan,01-Sep-2023 03:10 PM,Accepted-AOC,As per lottery,09-Nov-2023 03:13 PM,,,,,,,,AOC,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
