S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,076",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Const of paver road from PWD roads towards Arun Ku Mallick house new culvert ward 8,Const of paver road from PWD roads towards Arun Ku Mallick house new culvert ward 8,Please refer Tender documents. ,NA ,"5,07,618",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,"4,000",0.0,Nil,Nil,No,EO,Basudevpur Municipality,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,AOC,Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_49,BSPM-01-2023-24,Const of paver road from PWD roads towards Arun Ku Mallick house new culvert ward 8,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,08-Nov-2023 01:13 PM,finsummary_453354.pdf (10275.71 KB),Finance,ok,Prashanta Nayak,05-Sep-2023 12:07 PM,finance_453354.pdf,BOQ Comparative Chart,1,2226186,Gangadhar Patra,INR,"677,576",1,2227201,chandan kumar mallick,31-Aug-2023 03:35 PM,Accepted-AOC,ok,09-Nov-2023 03:24 PM,09-Nov-2023,"INR 604,979",30.0,Manas Kumar Dandapat,09-Nov-2023 03:23 PM,49.pdf (251.00 KB),ok,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,07-Nov-2023 02:34 PM,techsummary_453354.pdf (10275.71 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,2227201,chandan kumar mallick,INR,"604,979",2,2226186,Gangadhar Patra,31-Aug-2023 10:58 AM,Accepted-AOC,ok,09-Nov-2023 03:24 PM,,,,,,,,,,,,,,AOC
