S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"6,000",0.0,Nil,Nil,No,04-Oct-2023 10:00 AM,11-Oct-2023 11:00 AM,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,NA ,NA ,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,Municipal Bodies||Basudevpur Municipality,BSP-05-2023-02,2023_ORULB_95080_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"16,781",Yes,fixed,,Nil,Nil,Construction of paver road in ward no.14,Construction of paver road from Sumunath pain panchayat towards nali banda in ward no.14,Please refer Tender documents. ,NA ,"16,78,072",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,EO,Basudevpur Municipality,AOC,1,2281249,BASANTA KUMAR SANTARA,06-Oct-2023 07:53 PM,Accepted-AOC,OK,23-Nov-2023 12:30 PM,23-Nov-2023,"INR 1,995,927",30.0,Samir Ranjan Dash,23-Nov-2023 12:30 PM,10.pdf (278.00 KB),OK,NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,23-Nov-2023 11:06 AM,techsummary_465330.pdf (2709.72 KB),NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,23-Nov-2023 12:04 PM,finsummary_465330.pdf (2709.72 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_95080_10,BSP-05-2023-02,Construction of paver road in ward no.14,1,2281249,BASANTA KUMAR SANTARA,INR,"1,995,927",Finance,ok,Prashanta Nayak,13-Oct-2023 12:24 PM,finance_465330.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2281278,PRAKASH CHANDRA SETHI,06-Oct-2023 08:26 PM,Accepted-AOC,OK,23-Nov-2023 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,2,2281278,PRAKASH CHANDRA SETHI,INR,"2,199,720",,,,,,,AOC
