Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,1.0,ICICI BANK,"4,463",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_57,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,EXTENSION OF DRAIN AT DEO NAGAR IN WARD NO 18,DRAIN,Please refer Tender documents. ,NA ,"4,46,342",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR,No ,No,AOC,Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_57,GUN-MUN-58/2023-24,EXTENSION OF DRAIN AT DEO NAGAR IN WARD NO 18,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,30-Sep-2023 08:44 AM,finsummary_442749.pdf (258.84 KB),Finance,OPENED,SATYASAMPARNA ROUT,26-Jul-2023 06:04 PM,finance_442749.pdf,BOQ Comparative Chart,1.0,2177280.0,Niranjan Behera,INR,"378,255.98",14-Nov-2023,"INR 378,255.98",120.0,SATYASAMPARNA ROUT,14-Nov-2023 04:47 PM,57a.pdf (2003.00 KB),EXTENSION OF DRAIN AT DEO NAGAR IN WARD NO 18,1,2176985,ANANTA KUMAR GOUDO,16-Jul-2023 11:13 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 06:04 PM,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,30-Sep-2023 08:40 AM,techsummary_442749.pdf (258.84 KB),AOC
,,,,,,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179159,BALAJI PANIGRAHI,19-Jul-2023 05:05 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-EMD NOT DEPOSITED,26-Jul-2023 06:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2178581,CHINNARI VENKATA KRISHNA RAO,16-Jul-2023 01:48 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 06:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2178770,K RAMA KRISHNA,17-Jul-2023 09:00 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2178846,LAKSHMI ANDURU,17-Jul-2023 11:49 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2177280,Niranjan Behera,13-Jul-2023 03:52 PM,Accepted-AOC,L1 IN LOTTERY PROCESS,14-Nov-2023 04:48 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2180816,PRASANT KUMAR MISHRA,19-Jul-2023 12:57 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2179726,SANGRAM KESHARI SAHU,19-Jul-2023 03:08 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2180412,SANTOSH KUMAR RATH,18-Jul-2023 09:33 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2179643,VIJAYA KUMAR PATNAIK,19-Jul-2023 12:47 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 08:44 AM,,,,,,,AOC
