Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Nabarangpur Municipality,EONM-03/2023-24(51),2023_ORULB_92969_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver Surface over Kutcha road from Dilip Kumar Pattnaik res to Routa Res to Deepak Panigrahi Res in Ward No 16,Please referee the Tender Documents,CIVIL WORK ,NA ,"13,69,564",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"13,696",Yes,fixed,,Nil,Nil,24-Aug-2023 11:00 AM,04-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,NA ,NA ,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",1.0,ICICI BANK,1.0,Corrigendum Regarding DTCN revised,Other,,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.","6,000",0.0,Nil,Nil,No,AOC,Municipal Bodies||Nabarangpur Municipality,2023_ORULB_92969_38,EONM-03/2023-24(51),Construction of Paver Surface over Kutcha road from Dilip Kumar Pattnaik res to Routa Res to Deepak Panigrahi Res in Ward No 16,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant",Upendra Kumar Nayak,03-Nov-2023 09:15 AM,finsummary_452586.pdf (1718.38 KB),Finance,As per the OPWD code bidder is qualified,Upendra Kumar Nayak,03-Nov-2023 09:06 AM,,BOQ Comparative Chart,1.0,2231763.0,DAYANIDHI BHATARA,INR,"1,342,172",03-Nov-2023,"INR 1,342,172",60.0,Upendra Kumar Nayak,03-Nov-2023 09:20 AM,4072_NM_38.pdf (377.00 KB),1,2231763,DAYANIDHI BHATARA,02-Sep-2023 04:20 PM,Accepted-AOC,As per the OPWD code bidder is qualified,03-Nov-2023 09:20 AM,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant",Upendra Kumar Nayak,03-Nov-2023 09:08 AM,techsummary_452586.pdf (1718.38 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2230606,MANOJ KUMAR BRAHMA,02-Sep-2023 03:23 AM,Rejected-Finance,disqualified,03-Nov-2023 09:15 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2231174,M/S MAHAMAYEE ENTERPRISES,02-Sep-2023 02:49 PM,Rejected-Finance,disqualified,03-Nov-2023 09:15 AM,,,,,,,AOC
