S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,"6,000",0.0,Nil,Nil,No,25-Aug-2023 05:55 PM,05-Sep-2023 12:00 PM,25-Aug-2023 05:55 PM,05-Sep-2023 11:00 AM,25-Aug-2023 05:55 PM ,02-Sep-2023 05:00 PM ,25-Aug-2023 05:55 PM,05-Sep-2023 11:00 AM,"14,746",Yes,percentage,1.0%,Nil,Nil,Widening of Road with Guard Wall from Priya Natha Das House to Womens College Road (Part- 01) In Ward No- 14.,Widening of Road with Guard Wall from Priya Natha Das House to Womens College Road (Part- 01) In Ward No- 14.,Please refer Tender documents. ,NA ,"14,74,576",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_78,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,16-Nov-2023 01:22 PM,finsummary_454354.pdf (51.08 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_78,PM_03/2023-24,Widening of Road with Guard Wall from Priya Natha Das House to Womens College Road (Part- 01) In Ward No- 14.,1.0,2235708.0,Mr. Anjan Kumar Rout,INR,"1,474,578.98",Finance,ok,Ajit Narayanprasad Giri,08-Sep-2023 11:29 AM,,BOQ Comparative Chart,1,2235708,Mr. Anjan Kumar Rout,04-Sep-2023 09:17 PM,Accepted-AOC,The Bidder Quoted Schedule Rate,16-Nov-2023 01:24 PM,16-Nov-2023,"INR 1,516,624",60.0,Ajit Narayanprasad Giri,16-Nov-2023 01:23 PM,AOC.pdf (80.00 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,16-Nov-2023 01:21 PM,techsummary_454354.pdf (55.77 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2233147,SASMITA LENKA,04-Sep-2023 08:56 PM,Rejected-AOC,The Bidder Quoted Excess Rate,16-Nov-2023 01:24 PM,,,,,,,,,,,,,AOC
