Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,07-Nov-2023 02:55 PM,techsummary_453442.pdf (10275.71 KB),1,2222330,Kamala Kanta Das,28-Aug-2023 07:24 PM,Accepted-AOC,OK,20-Nov-2023 12:35 PM,20-Nov-2023,"INR 1,357,109",30.0,Samir Ranjan Dash,20-Nov-2023 12:35 PM,68.pdf (249.00 KB),OK,Finance,ok,Manas Kumar Dandapat,04-Sep-2023 10:33 AM,finance_453442.pdf,BOQ Comparative Chart,1,2222243,Ranjan Kumar Das,INR,"1,357,109",Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_68,BSPM-01-2023-24,Construction of paver road from Nidhina pada road towards Satabhauni road ward 11,NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,20-Nov-2023 12:28 PM,finsummary_453442.pdf (10278.84 KB),AOC,Construction of paver road from Nidhina pada road towards Satabhauni road ward 11,Construction of paver road from Nidhina pada road towards Satabhauni road ward 11,Please refer Tender documents. ,NA ,"10,65,820",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,1,ICICI BANK,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,"10,658",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_68,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EO,Basudevpur Municipality,AOC
,,,,,,2,2222243,Ranjan Kumar Das,28-Aug-2023 06:19 PM,Accepted-AOC,OK,20-Nov-2023 12:35 PM,,,,,,,,,,,,,,2,2222330,Kamala Kanta Das,INR,"1,395,159",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC
