Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Balasore Municipality,BM_06_2023_24,2023_ORULB_92697_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"8,003",Yes,percentage,1.0%,Nil,Nil,19-Aug-2023 05:00 PM,29-Aug-2023 11:00 AM,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,NA ,NA ,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,EXECUTIVE OFFICER,BALASORE MUNICIPALITY,"Const. of Paver Block Road and Drain from Chandramohan Bagal House to Sudarshan Bagal House, Chudakuta Sahi in Ward No 20 under Balasore Municipality","Const. of Paver Block Road and Drain from Chandramohan Bagal House to Sudarshan Bagal House, Chudakuta Sahi in Ward No 20 under Balasore Municipality",Please refer Tender documents. ,NA ,"8,00,344",Civil Works - Others,NA ,Tender,90.0,60.0,BALASORE MUNICIPALITY,756003.0,NA ,NA ,NA ,BALASORE MUNICIPALITY,No ,No,1,ICICI BANK,AOC,1,2220027,JITENDRA PARMANIK,28-Aug-2026 04:23 PM,Rejected-Technical,L2,02-Nov-2023 05:28 PM,02-Nov-2023,"INR 944,406",60.0,Pranabananda Sahu,02-Nov-2023 05:30 PM,WO0627.pdf (322.00 KB),EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 05:28 PM,techsummary_450301.pdf (390.48 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_92697_27,BM_06_2023_24,"Const. of Paver Block Road and Drain from Chandramohan Bagal House to Sudarshan Bagal House, Chudakuta Sahi in Ward No 20 under Balasore Municipality",EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 05:29 PM,finsummary_450301.pdf (321.61 KB),Finance,Tender opened successfully,Pranabananda Sahu,29-Aug-2023 02:54 PM,,BOQ Comparative Chart,1.0,2220832.0,SRI BASANTA KUMAR HEMBRAM,INR,"799,463.35",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,2220832,SRI BASANTA KUMAR HEMBRAM,28-Aug-2023 11:58 AM,Accepted-AOC,WO,02-Nov-2023 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
