Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
EIC_RWSS_Odisha,Internal,CE_RWSS_Odisha_ACE_RWSS_Circle_Balangir_ACE_RWSSPMDI_Circle_SE_Design_RWSS_Odisha_AO_RWSS_OdishaEE_RWSS_Division_Balangir,Pratik Kumar Rout,11-Nov-2023 05:28 PM,finsummary_445458.pdf (383.61 KB),Technical,BID HAS BEEN OPENED,Mahendra Pradhan,17-Aug-2023 07:35 PM,technical_445458.pdf,Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Bolangir,2023_RWSS_91312_1,BID No 18 OF 2023 - 24,Execition of RPWS to village RR Colony Lower Suktel Kusmel_South under Loisingha Block with 5 year operation and maintenance.,11-Nov-2023,"INR 21,319,341",540.0,Pratik Kumar Rout,11-Nov-2023 05:32 PM,WORK_ORDER.pdf (371.00 KB),L1 BIDDER HAS RESPOND,Finance,FINANCIAL BID HAS BEEN OPENED,Pratik Kumar Rout,29-Aug-2023 07:10 PM,finance_445458.pdf,BOQ Comparative Chart,1.0,2197674.0,MAHABIR INFRA,INR,"18,123,572",1,2202942,ABHISEK KUMAR AGRAWAL,16-Aug-2023 04:33 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,SURESH_CHANDRA_ROUT,Internal,PRATIK_KUMAR_ROUT_RESMA_KUJUR_ISWARCHANDRA_DHAMUNDIA_ARJUN_MATHO,Pratik Kumar Rout,29-Aug-2023 06:03 PM,29-Aug-2023 06:30 PM,techsummary_445458.pdf (307.89 KB),AOC,27-Jul-2023 11:00 AM,17-Aug-2023 11:00 AM,27-Jul-2023 11:00 AM,16-Aug-2023 05:00 PM,NA ,NA ,27-Jul-2023 11:00 AM,16-Aug-2023 05:00 PM,29-Aug-2023 06:30 PM,SUPERINTENDING ENGINEER,O/o SUPERINTENDING ENGINEER RWSS DIVISION BALANGIR,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, GST, PAN, Registration Certificate, Experience Certificate etc.",Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Bolangir,BID No 18 OF 2023 - 24,2023_RWSS_91312_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,Yes,1.0,ICICI BANK,Execition of RPWS to village RR Colony Lower Suktel Kusmel_South under Loisingha Block with 5 year operation and maintenance.,Execition of RPWS to village RR Colony Lower Suktel Kusmel_South under Loisingha Block with 5 year operation and maintenance.,PLEASE REFER DTCN ,NA ,"2,13,19,341",Civil Works - Water Works,WATER SUPPLY ,Tender,180.0,540.0,KUSMEL UNDER LOISINGHA BLOCK,767020.0,NA ,NA ,NA ,O/o SUPERINTENDING ENGINEER RWSS DIVISION BALANGIR,No ,No,"2,13,193",Yes,percentage,1.0%,Nil,Nil,1.0,Date extened,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2202696,DAHDIBAMAN SAHU,15-Aug-2023 06:20 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Other document as per DTCN,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Other,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2202218,DEBENDRA KUMAR SAHU,14-Aug-2023 09:41 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2202855,DIBYAJYOTI SAHOO,15-Aug-2023 08:43 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2194813,DILLIP KUMAR DASH,04-Aug-2023 08:59 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2197674,MAHABIR INFRA,16-Aug-2023 04:39 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2198564,MAHENDRA DALAI,16-Aug-2023 04:14 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2203085,RANJAN KUMAR MISHRA,16-Aug-2023 12:46 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2201507,SHASHIRAM MANGARAJ,14-Aug-2023 01:31 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2202809,SUBASH CHANDRA AGRAWAL PROP OF M/S BHAWANI BOREWELL,16-Aug-2023 12:52 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Nov-2023 05:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
