Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,OLIC/BGH-08/2023-24,2023_OLIC_94711_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,25-Sep-2023 10:00 AM,04-Oct-2023 11:00 AM,25-Sep-2023 10:00 AM,03-Oct-2023 05:00 PM,25-Sep-2023 10:00 AM ,03-Oct-2023 04:00 PM ,25-Sep-2023 10:00 AM,03-Oct-2023 05:00 PM,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh","10,968",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Execution of work for Revival of Uttam L.I. Project under Ambabhona Block in Bargarh District,Irrigation work,Please refer Tender documents.  ,NA ,"10,96,800",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavit, undertaking and as per DTCN",AOC,06-Nov-2023,"INR 1,096,800",90.0,Surya Narayan Tripathy,06-Nov-2023 01:52 PM,02.pdf (186.00 KB),Awarded,1.0,2277657.0,KHARABELA KHAMARI,INR,"1,096,800",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2023_OLIC_94711_2,OLIC/BGH-08/2023-24,Execution of work for Revival of Uttam L.I. Project under Ambabhona Block in Bargarh District,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,06-Nov-2023 12:41 PM,finsummary_463716.pdf (470.64 KB),Finance,Open,SRIKANTA ROUT,04-Oct-2023 12:05 PM,,BOQ Comparative Chart,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,06-Nov-2023 12:23 PM,techsummary_463716.pdf (186.06 KB),1,2277657,KHARABELA KHAMARI,03-Oct-2023 01:45 PM,Accepted-AOC,Awarded,06-Nov-2023 01:53 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity (BOQ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2277461,M/S PRATIBHA CONSTRUCTION,03-Oct-2023 04:24 PM,Rejected-Finance,Unsuccessful Bidder,06-Nov-2023 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2276871,M/S SAI BALAJI CONSTRUCTION,03-Oct-2023 04:11 PM,Rejected-Finance,Unsuccessful Bidder,06-Nov-2023 12:41 PM,AOC
