Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Municipal Bodies||Gunupur Municipal Council,2023_ORULB_94875_2,GUN-MUN-63/2023-24,"UPGRADATION OF CLASS ROOMS AT WORLD BANK COMMERCE DEPT. BLOCK , ADMINISTRATIVE BLOCK AND NEW LIBRARY BUILDING AT GUNUPUR COLLEGE",1.0,2278866.0,SANTOSH KUMAR RATH,INR,"762,500.81",Chairperson,Internal,"CHAIRPERSON,GUNUPUR MUNICIPALITY, EXECUTIVE OFFICER, GUNUPUR MUNICIPALITY, ASST. ENGINEER, GUNUPUR MUNICIPALITY, ASST. COLLECTOR SUB COLLECTORS OFFICE ,GUNUPUR",SATYASAMPARNA ROUT,19-Nov-2023 11:24 AM,techsummary_464512.pdf (417.51 KB),19-Nov-2023,"INR 847,129.026",30.0,SATYASAMPARNA ROUT,19-Nov-2023 11:32 AM,2c.pdf (2696.00 KB),"UPGRADATION OF CLASS ROOMS AT WORLD BANK COMMERCE DEPT. BLOCK , ADMINISTRATIVE BLOCK AND NEW LIBRARY BUILDING AT GUNUPUR COLLEGE",Finance,OPENED,Biswanath Saraka,06-Oct-2023 02:03 PM,finance_464512.pdf,BOQ Comparative Chart,Chairperson,Internal,"CHAIRPERSON,GUNUPUR MUNICIPALITY, EXECUTIVE OFFICER, GUNUPUR MUNICIPALITY, ASST. ENGINEER, GUNUPUR MUNICIPALITY, ASST. COLLECTOR SUB COLLECTORS OFFICE ,GUNUPUR",SATYASAMPARNA ROUT,19-Nov-2023 11:28 AM,finsummary_464512.pdf (417.52 KB),1,2278907,K RAMA KRISHNA,04-Oct-2023 03:13 PM,Rejected-AOC,EXCESS QUOTED VALUE,19-Nov-2023 11:36 AM,AOC,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-63/2023-24,2023_ORULB_94875_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,28-Sep-2023 10:00 AM,05-Oct-2023 11:00 AM,28-Sep-2023 10:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,28-Sep-2023 10:00 AM,04-Oct-2023 05:00 PM,"9,996",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"LICENSE,GSTIN,PAN,AFFIDAVIT,NO RELATION CERTIFICATE AND AS PER NIT DTCN",1,ICICI BANK,"UPGRADATION OF CLASS ROOMS AT WORLD BANK COMMERCE DEPT. BLOCK , ADMINISTRATIVE BLOCK AND NEW LIBRARY BUILDING AT GUNUPUR COLLEGE","UPGRADATION OF CLASS ROOMS AT WORLD BANK COMMERCE DEPT. BLOCK , ADMINISTRATIVE BLOCK AND NEW LIBRARY BUILDING AT GUNUPUR COLLEGE",Please refer Tender documents. ,NA ,"9,99,612",Civil Works - Buildings,NA ,Tender,90.0,30.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR MUNICIPALITY,No ,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2278866,SANTOSH KUMAR RATH,04-Oct-2023 02:26 PM,Accepted-AOC,LOWEST BID,19-Nov-2023 11:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
