EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"23,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN,AFFIDAVIT,ONLINE CHALLAN OF TENDER COST, EMD, AND OTHER DOCUMENT AS PER DTCN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||SUKINDA Block,TENDER ONLINE 03 SUKINDA OF 2023-24,2023_PRSKI_93786_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,04-Sep-2023 05:00 PM,15-Sep-2023 11:30 AM,04-Sep-2023 05:00 PM,14-Sep-2023 05:00 PM,04-Sep-2023 05:00 PM ,13-Sep-2023 11:00 AM ,04-Sep-2023 05:00 PM,14-Sep-2023 05:00 PM,BDO SUKINDA,"PANCHAYAT SAMITI, SUKINDA, DIST- JAJPUR, PIN-755018",1.0,ICICI BANK,"Sukinda Haata Permanent Structure, Sukindagarh GP",Works,Please refer Tender documents. ,NA ,"23,21,151",Civil Works - Others,NA ,Tender,90.0,120.0,"PANCHAYAT SAMITI, SUKINDA, DIST- JAJPUR",755018.0,NA ,NA ,NA ,"PANCHAYAT SAMITI, SUKINDA",No ,No,AOC,1,2252203,BISWAJIT PATRA,12-Sep-2023 10:33 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,BDO,Internal,,ASISH KUMAR BISWAL,09-Nov-2023 03:31 PM,finsummary_458367.pdf (404.35 KB),Finance,All bid documents are ok,NAMRATA MODI,09-Nov-2023 02:47 PM,finance_458367.pdf,BOQ Comparative Chart,09-Nov-2023,"INR 1,973,210",120.0,NAMRATA MODI,09-Nov-2023 03:59 PM,SUKINDAHAATPERMANETSTRUCTURE.pdf (352.00 KB),BDO SUKINDA,Internal,,ASISH KUMAR BISWAL,09-Nov-2023 03:12 PM,techsummary_458367.pdf (404.35 KB),1.0,2252189.0,M/S RABINDRA KUMAR SAMAL,INR,"1,973,210",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||SUKINDA Block,2023_PRSKI_93786_4,TENDER ONLINE 03 SUKINDA OF 2023-24,"Sukinda Haata Permanent Structure, Sukindagarh GP",AOC
,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,2252195,DEEPAK KUMAR JENA,12-Sep-2023 10:39 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2254540,DIPAK KUMAR RANA,14-Sep-2023 12:56 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2254848,HIRANYA KUMAR DAS,14-Sep-2023 01:14 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2254808,JHARANA SAHOO,14-Sep-2023 12:47 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2254874,KSHIROD KUMAR BARIK,14-Sep-2023 01:29 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2252189,M/S RABINDRA KUMAR SAMAL,12-Sep-2023 10:44 PM,Accepted-AOC,Tender awarded through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2254731,NILADRI BIHARI SAHOO,14-Sep-2023 12:13 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2252133,PADMANAV MALLICK,13-Sep-2023 10:50 AM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2254887,SAROJ KANTA BEJ,14-Sep-2023 01:13 PM,Rejected-AOC,Rejected through lottery,09-Nov-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
