Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Manoranjan Biswal,Internal,SE Ghatagaon R and B Division DAO-I Ghatagaon R and B Division PA to CCE Keonjhar R and B Circle,Manoranjan Biswal,19-Nov-2023 07:01 PM,finsummary_449389.pdf (651.33 KB),19-Nov-2023,"INR 68,522,893",270.0,Manoranjan Biswal,19-Nov-2023 07:03 PM,AOC_Kendeiposi_KantiapadaRoad_0.00to6.055.pdf (1333.00 KB),1st Lowest Bidder,Finance,Bid opening summary,Manoranjan Biswal,11-Sep-2023 11:49 AM,finance_449389.pdf,BOQ Comparative Chart,1.0,2221455.0,ALEKH INFRACON PRIVATE LIMITED,28-Aug-2023 02:03 PM,Rejected-Finance,2nd Lowest Bidder,19-Nov-2023 07:01 PM,Technical,Bid opening summary,Manoranjan Biswal,29-Aug-2023 12:37 PM,technical_449389.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2023_EICCL_92550_1,"C.C.E.K.C., Keonjhar No. 21/ 2023-24",Improvement such as widening and strengthening of Kendeiposi to Kantiapada road from 0/000 km to 6/055 km in the District of Keonjhar under State Plan for the year 2023-24,1.0,2221853.0,SATENDRA PRASAD,INR,"68,522,893",Manoranjan Biswal,Internal,SE Ghatagaon R and B Division DAO-I Ghatagaon R and B Division PA to CCE Keonjhar R and B Circle,Manoranjan Biswal,08-Sep-2023 07:38 PM,11-Sep-2023 05:03 PM,techsummary_449389.pdf (651.33 KB),AOC,Improvement such as widening and strengthening of Kendeiposi to Kantiapada road from 0/000 km to 6/055 km in the District of Keonjhar under State Plan for the year 2023-24,Improvement such as widening and strengthening of Kendeiposi to Kantiapada road from 0/000 km to 6/055 km in the District of Keonjhar under State Plan for the year 2023-24,Please refer Tender Documents ,NA ,"7,61,28,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Ghatagaon,758027.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,17-Aug-2023 09:00 AM,29-Aug-2023 11:30 AM,17-Aug-2023 09:00 AM,28-Aug-2023 04:00 PM,NA ,NA ,17-Aug-2023 09:00 AM,28-Aug-2023 04:00 PM,11-Sep-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,"C.C.E.K.C., Keonjhar No. 21/ 2023-24",2023_EICCL_92550_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","7,61,300",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2.0,2221853.0,SATENDRA PRASAD,28-Aug-2023 03:53 PM,Accepted-AOC,1st Lowest Bidder,19-Nov-2023 07:03 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
