Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 01/2023-24,2023_ORULB_89922_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Construction of WBM Road from the House of Matia Sahoo to Bhagabati Temple back side road at Krushna Chandrapur Patana in Ward no. 11 of NAC Daspalla,Construction of WBM Road from the House of Matia Sahoo to Bhagabati Temple back side road at Krushna Chandrapur Patana in Ward no. 11 of NAC Daspalla,Please refer Tender documents. ,NA ,"7,00,000",Civil Works - Roads,NA ,Tender,90.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,"7,000",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA",1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,29-Jun-2023 12:00 PM,13-Jul-2023 11:00 AM,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,NA ,NA ,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,AOC,SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,13-Oct-2023 02:43 PM,finsummary_441845.pdf (225.84 KB),Municipal Bodies||Daspalla NAC,2023_ORULB_89922_42,NAC-Daspalla/ 01/2023-24,Construction of WBM Road from the House of Matia Sahoo to Bhagabati Temple back side road at Krushna Chandrapur Patana in Ward no. 11 of NAC Daspalla,1.0,2174478.0,SOUMYA RANJAN MISHRA,INR,"593,161",Finance,OK,Ashok Kumar Dalabehera,10-Aug-2023 03:32 PM,finance_441845.pdf,BOQ Comparative Chart,01-Nov-2023,"INR 593,161",90.0,Dillip Kumar Behera,04-Nov-2023 01:51 PM,42.pdf (249.00 KB),1,2174545,MAKABULU KHAN,09-Jul-2023 09:24 PM,Rejected-Finance,EXCESS,13-Oct-2023 02:43 PM,SMT PUNAM PRIYADARSHINEE,Internal,,Ashok Kumar Dalabehera,10-Aug-2023 03:33 PM,techsummary_441845.pdf (3871.32 KB),AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ALL TENDER DOCUMENTS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2174478,SOUMYA RANJAN MISHRA,09-Jul-2023 07:38 PM,Accepted-AOC,OK,04-Nov-2023 01:51 PM,,,,,,,AOC
