Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Finance,4 Nos. B,AMRUTA KUMAR BAGH,04-Nov-2023 07:33 AM,finance_449374.pdf,BOQ Comparative Chart,1,2215474,BALARAM SAHU,24-Aug-2023 10:12 AM,Accepted-AOC,1st Lowest,05-Nov-2023 07:38 PM,SN Dalai,Internal,,Satchidananda Dalai,05-Nov-2023 06:57 AM,techsummary_449374.pdf (193.38 KB),SN Dalai,Internal,,Satchidananda Dalai,05-Nov-2023 07:35 PM,finsummary_449374.pdf (193.37 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2023_OLIC_92535_8,OLIC-BLGR-02/2023-24,Revival of defunct Rampur L.I. Project under Agalpur Block (Sate Plan Fund).,05-Nov-2023,"INR 1,422,699.57",120.0,Satchidananda Dalai,05-Nov-2023 07:36 PM,8.pdf (1177.00 KB),1st Lowest,1.0,2215474.0,BALARAM SAHU,INR,"1,209,437",AOC,"Executive Engineer, L.I.Division, Balangir","O/o the Executive Engineer, L.I.Division, Balangir",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-02/2023-24,2023_OLIC_92535_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,"14,227",Yes,percentage,1.0%,Nil,Nil,17-Aug-2023 11:00 AM,25-Aug-2023 11:00 AM,17-Aug-2023 11:00 AM,24-Aug-2023 05:00 PM,17-Aug-2023 11:00 AM ,23-Aug-2023 05:00 PM ,17-Aug-2023 11:00 AM,24-Aug-2023 05:00 PM,Revival of defunct Rampur L.I. Project under Agalpur Block (Sate Plan Fund).,Revival of defunct Rampur L.I. Project under Agalpur Block (Sate Plan Fund).,Please refer Tender documents. ,NA ,"14,22,700",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Bolangir,767002.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I.Division, Balangir",No ,No,1.0,ICICI BANK,AOC
,,,,,,2,2210848,M/S SAROJINEE POWER AND CONSTRUCTION,23-Aug-2023 03:02 PM,Rejected-Finance,4th Lowest,05-Nov-2023 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,3,2215120,SRIPADA DAS,23-Aug-2023 11:04 PM,Rejected-Finance,2nd Lowest,05-Nov-2023 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2211269,SUKHBIR SINGH BEDI,22-Aug-2023 12:43 PM,Rejected-Finance,3rd Lowest,05-Nov-2023 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
