Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Ground Water Survey and Investigation,2023_GWSI_94565_1,04/GWRSD/CHHATA/2023-24,Installation of 9 Nos of RRHS in different Locations under CHHATA scheme at Nayagarh Block area of Nayagarh District,"Deputy Director GWD Division ,II",Internal,,Shiladitya Mishra,05-Oct-2023 12:34 PM,finsummary_462731.pdf,13-Oct-2023,"INR 1,791,602",60.0,Shiladitya Mishra,30-Nov-2023 11:55 AM,04gwrsdchhataloa.pdf,"Deputy Director GWD Division ,II",Internal,,Shiladitya Mishra,05-Oct-2023 12:29 PM,techsummary_462731.pdf,Finance,BOS,Shiladitya Mishra,03-Oct-2023 06:11 PM,finance_462731.pdf,AOC,Installation of 9 Nos of RRHS in different Locations under CHHATA scheme at Nayagarh Block area of Nayagarh District,Installation of 9 Nos of RRHS in different Locations under CHHATA scheme at Nayagarh Block area of Nayagarh District,Please refer Tender documents. ,NA ,"21,07,519",Civil Works - Others,NA ,Tender,90.0,60.0,"GWD Division-II ,Plot-A/2, Unit-V, Bhubaneswar",751001.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,Ground Water Survey and Investigation,04/GWRSD/CHHATA/2023-24,2023_GWSI_94565_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"Deputy Director, Geology, GWD Division-II","Deputy Director, Geology, GWD Division-II ,Plot-A/2, Unit-V, Bhubaneswar","6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDERDOCUMENTS,"21,100",Yes,fixed,,Nil,Nil,23-Sep-2023 11:00 AM,03-Oct-2023 01:00 PM,23-Sep-2023 11:00 AM,03-Oct-2023 11:00 AM,NA ,NA ,23-Sep-2023 11:00 AM,03-Oct-2023 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
