Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,14-Sep-2023 12:08 PM,14-Sep-2023 03:00 PM,techsummary_453851.pdf (186.06 KB),1.0,2239824.0,M/S PRATIBHA CONSTRUCTION,INR,"881,328",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2023_OLIC_93165_20,OLIC/BGH-06/2023-24,Execution of work for Revival of Ghughurapali-I L.I. Project under Ambabhona Block in Bargarh District,Finance,Open financial bid,SRIKANTA ROUT,14-Sep-2023 06:11 PM,,BOQ Comparative Chart,1,2224829,Bolli Shyam Babu,03-Sep-2023 06:15 AM,Rejected-Finance,Unsuccessful Bidder,07-Nov-2023 11:09 AM,Technical,Open Technical Bid,SRIKANTA ROUT,07-Sep-2023 06:08 PM,,07-Nov-2023,"INR 881,328",90.0,Surya Narayan Tripathy,07-Nov-2023 01:14 PM,Ghugurapali.pdf (387.00 KB),Awarded,S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,07-Nov-2023 11:09 AM,finsummary_453851.pdf (177.76 KB),AOC,"10,367",Yes,percentage,1.0%,Nil,Nil,Execution of work for Revival of Ghughurapali-I L.I. Project under Ambabhona Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"10,36,734",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavit, undertaking and as per DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,25-Aug-2023 10:00 AM,07-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,25-Aug-2023 10:00 AM ,05-Sep-2023 05:00 PM ,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",1.0,Date Change,Date,,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,OLIC/BGH-06/2023-24,2023_OLIC_93165_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2232068,KHARABELA KHAMARI,04-Sep-2023 07:42 AM,Rejected-Finance,Unsuccessful Bidder,07-Nov-2023 11:09 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity (BOQ),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,2.0,Change in item of BOQ,Other,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2239824,M/S PRATIBHA CONSTRUCTION,06-Sep-2023 04:49 PM,Accepted-AOC,Awarded,07-Nov-2023 01:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
