Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Basudevpur Municipality,BSP-05-2023-02,2023_ORULB_95080_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Const of paver road in ward no.21,Construction of paver road from P.W.D road to hambuda adi in ward no.21,Please refer Tender documents. ,NA ,"7,76,764",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EO,Basudevpur Municipality,"7,768",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,04-Oct-2023 10:00 AM,11-Oct-2023 11:00 AM,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,NA ,NA ,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,AOC,1,2283233,Basanta Kumar Behera,10-Oct-2023 12:16 PM,Accepted-AOC,OK,23-Nov-2023 12:48 PM,23-Nov-2023,"INR 786,978",30.0,Samir Ranjan Dash,23-Nov-2023 12:47 PM,17.pdf (285.00 KB),OK,NIBEDITA BEHERA,Internal,"eo,me,je,acct",Samir Ranjan Dash,23-Nov-2023 11:30 AM,techsummary_465345.pdf (2709.72 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_95080_17,BSP-05-2023-02,Const of paver road in ward no.21,NIBEDITA BEHERA,Internal,,Samir Ranjan Dash,23-Nov-2023 11:52 AM,finsummary_465345.pdf (2709.72 KB),Finance,ok,Prashanta Nayak,13-Oct-2023 12:04 PM,finance_465345.pdf,BOQ Comparative Chart,1,2282797,UMAKANTA SETHI,INR,"879,553",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,2,2283256,Bijay Kumar Nayak,09-Oct-2023 06:44 PM,Accepted-AOC,OK,23-Nov-2023 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2283233,Basanta Kumar Behera,INR,"786,978",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2282797,UMAKANTA SETHI,09-Oct-2023 01:06 PM,Accepted-AOC,OK,23-Nov-2023 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2283256,Bijay Kumar Nayak,INR,"786,978",AOC
