S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,Provision of Electrical Internal wiring at MRF,Provision of Electrical Internal wiring at MRF,Please refer Tender documents. ,NA ,"3,30,797",Electrical Works,NA ,Tender,90.0,60.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA","3,308",Yes,fixed,,Nil,Nil,12-Jul-2023 11:00 AM,26-Jul-2023 11:00 AM,12-Jul-2023 11:00 AM,24-Jul-2023 05:00 PM,NA ,NA ,12-Jul-2023 11:00 AM,24-Jul-2023 05:00 PM,Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 02/2023-24,2023_ORULB_90408_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,03-Nov-2023 12:32 PM,techsummary_443084.pdf (191.99 KB),1.0,2184552.0,M/S POWER TECH,INR,"277,532.81",Municipal Bodies||Daspalla NAC,2023_ORULB_90408_3,NAC-Daspalla/ 02/2023-24,Provision of Electrical Internal wiring at MRF,1,2183602,MODERN WINDING AND ELECTRICALS,23-Jul-2023 11:27 AM,Rejected-Finance,EXCESS,03-Nov-2023 12:38 PM,03-Nov-2023,"INR 277,532.81",60.0,Dillip Kumar Behera,03-Nov-2023 12:58 PM,3WORK.pdf (406.00 KB),SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,03-Nov-2023 12:38 PM,finsummary_443084.pdf (191.99 KB),Finance,OK,Ashok Kumar Dalabehera,21-Aug-2023 05:06 PM,finance_443084.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,.pdf,ALL TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2184552,M/S POWER TECH,24-Jul-2023 02:05 PM,Accepted-AOC,OK,03-Nov-2023 12:58 PM,,,,,,,,,,,,,,,,,,,AOC
