Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,"The bid of PRASANT KUMAR BARIK , Nityananda Behera and Bibekananda Mohapatra have been admitted.",Lagnajit Rout,02-Sep-2023 03:40 PM,finance_451505.pdf,BOQ Comparative Chart,BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,20-Nov-2023 01:15 PM,finsummary_451505.pdf (733.96 KB),20-Nov-2023,"INR 1,983,400",60.0,Lalitendu Nayak,20-Nov-2023 01:16 PM,7.pdf (734.00 KB),Contract value includes GST.,1,2226110,Bibekananda Mohapatra,31-Aug-2023 11:51 AM,Rejected-Finance,"Though the quoted rate is lower among the all, but became L2 due to General License.",20-Nov-2023 01:15 PM,Municipal Bodies||Paradeep Municipality,2023_ORULB_92846_7,EO/PDPM/W_02/2023-24,Construction of Paver Block Road over existing WBM road from New Jagannath colony to Sauchalaya in ward no 03,1.0,2223440.0,Nityananda Behera,INR,"1,983,400",BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,20-Nov-2023 01:08 PM,techsummary_451505.pdf (733.96 KB),AOC,"16,809",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Paver Block Road over existing WBM road from New Jagannath colony to Sauchalaya in ward no 03,Construction of Paver Block Road over existing WBM road from New Jagannath colony to Sauchalaya in ward no 03,Please refer Tender documents. ,NA ,"16,80,866",Civil Works - Others,NA ,Tender,90.0,60.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_02/2023-24,2023_ORULB_92846_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EO, Paradeep Municipality","EO, Paradeep Municipality",22-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM ,31-Aug-2023 05:00 PM ,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,AOC
,,,,,,,,,,,,,,,,,,,2,2223440,Nityananda Behera,30-Aug-2023 07:17 PM,Accepted-AOC,Awarded value includes GST.,20-Nov-2023 01:16 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC
,,,,,,,,,,,,,,,,,,,3,2223401,PRASANT KUMAR BARIK,30-Aug-2023 04:15 PM,Rejected-Finance,"Though the quoted rate is lower among the all, but became L3 due to General License.",20-Nov-2023 01:15 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
