Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Balasore Municipality,BM_06_2023_24,2023_ORULB_92697_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,19-Aug-2023 05:00 PM,29-Aug-2023 11:00 AM,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,NA ,NA ,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"5,746",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,EXECUTIVE OFFICER,BALASORE MUNICIPALITY,Const. of Paver Block Road and Drain from Anuj Kumar Das Res to Sovarampur Over Bridge in Ward No 20 under Balasore Municipality,Const. of Paver Block Road and Drain from Anuj Kumar Das Res to Sovarampur Over Bridge in Ward No 20 under Balasore Municipality,Please refer Tender documents. ,NA ,"5,74,606",Civil Works - Others,NA ,Tender,90.0,60.0,BALASORE MUNICIPALITY,756003.0,NA ,NA ,NA ,BALASORE MUNICIPALITY,No ,No,AOC,02-Nov-2023,"INR 678,035",60.0,Pranabananda Sahu,02-Nov-2023 05:42 PM,WO0619.pdf (411.00 KB),1,2220008,JITENDRA PARMANIK,27-Aug-2024 11:00 PM,Rejected-Technical,L2,18-Jun-2024 06:11 PM,EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 05:38 PM,techsummary_450255.pdf (335.27 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_92697_19,BM_06_2023_24,Const. of Paver Block Road and Drain from Anuj Kumar Das Res to Sovarampur Over Bridge in Ward No 20 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 05:41 PM,finsummary_450255.pdf (335.28 KB),Finance,Tender opened successfully,Pranabananda Sahu,29-Aug-2023 02:45 PM,,BOQ Comparative Chart,1.0,2219902.0,Pritam Kumar Mallik,INR,"573,973.55",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2219902,Pritam Kumar Mallik,27-Aug-2023 07:27 PM,Accepted-AOC,WO,02-Nov-2023 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
