Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Paver Block Road from Pump House to Sunamani Das House In Ward No - 20. (Part - 1),Construction of Paver Block Road from Pump House to Sunamani Das House In Ward No - 20. (Part - 1),Please refer Tender documents. ,NA ,"16,14,407",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_108,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,1,ICICI BANK,26-Aug-2023 03:00 PM,06-Sep-2023 12:00 PM,26-Aug-2023 03:00 PM,06-Sep-2023 11:00 AM,26-Aug-2023 03:00 PM ,02-Sep-2023 05:00 PM ,26-Aug-2023 03:00 PM,06-Sep-2023 11:00 AM,"16,144",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,AOC,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 03:44 PM,finsummary_455097.pdf (70.92 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 03:42 PM,techsummary_455097.pdf (72.02 KB),01-Nov-2023,"INR 1,905,000",60.0,Ajit Narayanprasad Giri,01-Nov-2023 03:45 PM,AOC.pdf (99.00 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_108,PM_03/2023-24,Construction of Paver Block Road from Pump House to Sunamani Das House In Ward No - 20. (Part - 1),1.0,2232489.0,RUDRA NARAYAN DAS,INR,"1,614,407.98",1,2232548,JAYANTI SAHOO,03-Sep-2023 12:12 PM,Rejected-AOC,L2,01-Nov-2023 03:47 PM,Finance,OK,Ajit Narayanprasad Giri,07-Sep-2023 12:57 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2232489,RUDRA NARAYAN DAS,03-Sep-2023 11:40 AM,Accepted-AOC,Quoted Lowest Rate,01-Nov-2023 03:47 PM,,,,,,,AOC
