Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 04:14 PM,techsummary_454751.pdf (57.00 KB),01-Nov-2023,"INR 1,760,000",60.0,Ajit Narayanprasad Giri,01-Nov-2023 04:16 PM,AOC.pdf (75.00 KB),1,2233263,JAYANTI SAHOO,03-Sep-2023 08:13 PM,Rejected-AOC,L2,01-Nov-2023 04:17 PM,1.0,2233162.0,SUJIT KUMAR NAIK,INR,"1,491,527.73",Finance,ok,Ajit Narayanprasad Giri,08-Sep-2023 01:06 PM,,BOQ Comparative Chart,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 04:15 PM,finsummary_454751.pdf (58.77 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_98,PM_03/2023-24,Construction of Paver Block Road from Kartik Malik House to Smart Park In Ward No - 18.(Part - 4),AOC,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_98,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,25-Aug-2023 06:55 PM,05-Sep-2023 12:00 PM,25-Aug-2023 06:55 PM,05-Sep-2023 11:00 AM,25-Aug-2023 06:55 PM ,02-Sep-2023 05:00 PM ,25-Aug-2023 06:55 PM,05-Sep-2023 11:00 AM,Construction of Paver Block Road from Kartik Malik House to Smart Park In Ward No - 18.(Part - 4),Construction of Paver Block Road from Kartik Malik House to Smart Park In Ward No - 18.(Part - 4),Please refer Tender documents. ,NA ,"14,91,525",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,"14,915",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,2,2233162,SUJIT KUMAR NAIK,03-Sep-2023 07:22 PM,Accepted-AOC,Quoted Lowest Rate,01-Nov-2023 04:17 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,AOC
