Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Superintending Engineer,Internal,DAO and Estimator,Satyaban Patel,25-Sep-2023 11:57 AM,25-Sep-2023 12:05 PM,techsummary_449869.pdf (84.23 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,2023_EICCL_92642_2,SC RandB GM-II-18/2023-24,Improvement to Road from Government Girls High to Shanti Nagar via Chatrapur Ganjam Road Court station halt and pili bandha bank road,1.0,2225002.0,Jajati Kesari Nayak,INR,"10,090,742",Finance,Financial opening,Tapan Kumar Behera,25-Sep-2023 12:18 PM,finance_449869.pdf,BOQ Comparative Chart,1,2225002,Jajati Kesari Nayak,30-Aug-2023 02:38 PM,Accepted-AOC,Work awarded,28-Nov-2023 04:46 PM,Technical,Two nos of bidder for financial evaluation,Satyaban Patel,04-Sep-2023 07:13 PM,technical_449869.pdf,Superintending Engineer,Internal,DAO and Estimator,Satyaban Patel,28-Nov-2023 04:43 PM,finsummary_449869.pdf (88.12 KB),28-Nov-2023,"INR 9,656,213",90.0,Satyaban Patel,28-Nov-2023 04:45 PM,20231128044813.pdf (88.00 KB),work awarded to Sri Jajati Keasari Nayak,AOC,"96,600",Yes,fixed,,Nil,Nil,Improvement to Road from Government Girls High to Shanti Nagar via Chatrapur Ganjam Road Court station halt and pili bandha bank road,Road work,Please refer Tender documents. ,NA ,"96,56,619",Civil Works - Roads,NA ,Tender,90.0,90.0,Chatrapur,760009.0,NA ,NA ,NA ,O/o S.E. Ganjam RandB Division No.II Hillpatna Ber,No ,No,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,SC RandB GM-II-18/2023-24,2023_EICCL_92642_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,18-Aug-2023 02:00 PM,04-Sep-2023 11:30 AM,18-Aug-2023 02:00 PM,02-Sep-2023 04:00 PM,18-Aug-2023 02:00 PM ,23-Aug-2023 04:00 PM ,18-Aug-2023 02:00 PM,02-Sep-2023 04:00 PM,25-Sep-2023 12:05 PM,Superintending Engineer,O/o S.E. Ganjam RandB Division No.II Hillpatna Berhampur-5,1,Fee/PreQual/Technical,.pdf,Cost of tender paper EMD PAN GSTIN Affidavit Regn certificate and other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2222694,Sunil Kumar Padhy,29-Aug-2023 08:59 AM,Rejected-Technical,Due to non submission of original documents for verification,25-Sep-2023 11:57 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,2,Finance,.xls,Bill of quantity,AOC
